district,year,loss_ha
Chibombo,2001,615.5798663462681
Kabwe,2001,5.8908390563964845
Kapiri-Mposhi,2001,159.6983913515338
Mkushi,2001,1184.1781327157532
Mumbwa,2001,857.7877336245309
Serenje,2001,560.2787783710794
Chililabombwe,2001,370.7250642710727
Chingola,2001,635.3182338202503
Kalulushi,2001,428.70171692418717
Kitwe,2001,81.7028889539771
Luanshya,2001,27.36711148774988
Lufwanyama,2001,3564.73689996831
Masaiti,2001,249.18414873080383
Mpongwe,2001,534.5831635282389
Mufulira,2001,679.9587179690849
Ndola,2001,100.00605399976543
Chadiza,2001,51.36993072509765
Chama,2001,286.0326360032265
Chipata,2001,166.96581573486327
Katete,2001,78.67050096246459
Lundazi,2001,243.00037920474782
Mambwe,2001,34.014775555419924
Nyimba,2001,433.2563587757783
Petauke,2001,323.34988750775506
Chienge,2001,198.06602843752393
Kawambwa,2001,497.46296056834507
Mansa,2001,289.7349493800025
Milenge,2001,116.82474903396906
Mwense,2001,366.73027741017063
Nchelenge,2001,133.35607907358207
Samfya,2001,227.4374006713867
Chongwe,2001,772.4696358163153
Kafue,2001,133.69425365179325
Luangwa,2001,363.08732832816327
Lusaka,2001,5.777079858398437
Kabompo,2001,1476.7600478463205
Kasempa,2001,294.9264231567383
Mufumbwe,2001,670.5930742124071
Mwinilunga,2001,1569.57534434757
Solwezi,2001,3547.896775825459
Chilubi,2001,548.3126715820313
Chinsali,2001,213.99913278420843
Isoka,2001,260.81568086708216
Kaputa,2001,325.09773866301896
Kasama,2001,452.80267717203776
Luwingu,2001,273.55876563416723
Mbala,2001,49.25431523679247
Mpika,2001,375.26896368422564
Mporokoso,2001,401.6629794140146
Mpulungu,2001,0.6171671203613281
Mungwi,2001,427.93992385809196
Nakonde,2001,58.560172238362625
Choma,2001,9.945177185058593
Gwembe,2001,27.174654412841797
Itezhi-tezhi,2001,10.160030408600452
Kalomo,2001,11.281525177001953
Kazungula,2001,19.29707176396389
Livingstone,2001,0.0
Mazabuka,2001,18.492391166800704
Monze,2001,9.534460943603516
Namwala,2001,1.9015803291829427
Siavonga,2001,118.01746134502336
Sinazongwe,2001,101.31498245239258
Kaoma,2001,255.5168567860323
Mongu,2001,267.8090445779718
Sesheke,2001,247.35116276290594
Chavuma,2001,81.2516477063467
Zambezi,2001,1108.8466948285989
Kalabo,2001,883.300876538086
Lukulu,2001,1033.0445739168533
Senanga,2001,153.1612754333496
Shang'ombo,2001,106.97131963565602
Chibombo,2002,163.4444780015175
Kabwe,2002,3.033090856933594
Kapiri-Mposhi,2002,248.0201119898897
Mkushi,2002,1747.428711132286
Mumbwa,2002,159.55775497070312
Serenje,2002,897.0272777505793
Chililabombwe,2002,282.7740153237736
Chingola,2002,319.14127118281345
Kalulushi,2002,443.6649871147844
Kitwe,2002,305.9714387639543
Luanshya,2002,452.74302142853384
Lufwanyama,2002,1629.0797056367762
Masaiti,2002,2144.7216913769053
Mpongwe,2002,1821.9051223956417
Mufulira,2002,533.3900897177782
Ndola,2002,346.90150962601
Chadiza,2002,53.80621769904641
Chama,2002,488.02267630574545
Chipata,2002,632.0817474739105
Katete,2002,35.2462980784936
Lundazi,2002,374.34104482115504
Mambwe,2002,135.54022261158664
Nyimba,2002,308.4099046827129
Petauke,2002,112.96472518286612
Chienge,2002,789.2131881976197
Kawambwa,2002,2304.4135488016523
Mansa,2002,1572.9597157989624
Milenge,2002,384.4858494364421
Mwense,2002,3560.6845210584693
Nchelenge,2002,1886.0058899133298
Samfya,2002,311.4920430336627
Chongwe,2002,1246.0200969670075
Kafue,2002,186.48476292616903
Luangwa,2002,817.8404262627815
Lusaka,2002,0.08622371215820313
Kabompo,2002,801.0757683494179
Kasempa,2002,1109.7986345295026
Mufumbwe,2002,1291.9165896512618
Mwinilunga,2002,2859.3924710818305
Solwezi,2002,2621.682801665973
Chilubi,2002,27.131892834472655
Chinsali,2002,734.1820267247099
Isoka,2002,309.29433244329715
Kaputa,2002,740.673757537387
Kasama,2002,169.03947676805683
Luwingu,2002,703.5787971244064
Mbala,2002,293.24525741194185
Mpika,2002,753.2597947303922
Mporokoso,2002,172.3764785738597
Mpulungu,2002,91.21971225152707
Mungwi,2002,656.8712997699573
Nakonde,2002,56.46979736328125
Choma,2002,3.3434657287597656
Gwembe,2002,0.34298596801757814
Itezhi-tezhi,2002,50.41615987319049
Kalomo,2002,8.833284411621094
Kazungula,2002,70.19077505785175
Livingstone,2002,0.085209765625
Mazabuka,2002,3.0106450134277343
Monze,2002,1.462307879638672
Namwala,2002,19.527610803222657
Siavonga,2002,198.1722874783385
Sinazongwe,2002,0.170834814453125
Kaoma,2002,1153.1874992291619
Mongu,2002,83.53578081054688
Sesheke,2002,351.7800441394282
Chavuma,2002,763.2566760219919
Zambezi,2002,1195.0193870011633
Kalabo,2002,1296.2218360800111
Lukulu,2002,740.7220728996247
Senanga,2002,95.13563023071289
Shang'ombo,2002,334.6777318052524
Chibombo,2003,316.9867894696643
Kabwe,2003,0.0
Kapiri-Mposhi,2003,335.36143957576974
Mkushi,2003,1110.9652680251418
Mumbwa,2003,806.4623859985353
Serenje,2003,1073.0940193733006
Chililabombwe,2003,271.8456264412674
Chingola,2003,220.95353688620176
Kalulushi,2003,153.28138446865907
Kitwe,2003,153.3862432216031
Luanshya,2003,94.37573392558977
Lufwanyama,2003,3740.4785994273225
Masaiti,2003,511.79008009499944
Mpongwe,2003,731.068280008138
Mufulira,2003,282.0903553706629
Ndola,2003,117.11708847333124
Chadiza,2003,166.2301851184082
Chama,2003,501.67379041697785
Chipata,2003,457.3482267874206
Katete,2003,94.10550634724936
Lundazi,2003,545.5964237581379
Mambwe,2003,212.3531288248459
Nyimba,2003,270.1744026162062
Petauke,2003,259.84387342170265
Chienge,2003,228.6151000712316
Kawambwa,2003,1283.055281606972
Mansa,2003,1036.2802662424124
Milenge,2003,152.0238134312768
Mwense,2003,1257.097442823678
Nchelenge,2003,925.348280718635
Samfya,2003,594.8119720159792
Chongwe,2003,342.23219279174805
Kafue,2003,40.924291333007815
Luangwa,2003,47.817863024902344
Lusaka,2003,0.7761162292480469
Kabompo,2003,990.7331035693359
Kasempa,2003,998.6628424898274
Mufumbwe,2003,383.25780907659794
Mwinilunga,2003,1298.9591269441014
Solwezi,2003,6813.858287353684
Chilubi,2003,1325.700173725538
Chinsali,2003,619.5199157746199
Isoka,2003,914.7381412912406
Kaputa,2003,488.3410076586914
Kasama,2003,940.2649850282677
Luwingu,2003,826.613124391707
Mbala,2003,316.92543429306926
Mpika,2003,1377.450955588642
Mporokoso,2003,505.95323323862107
Mpulungu,2003,280.88075545278514
