date,spatial_ref,Muchinga,Eastern,Northern,Lusaka,Southern,Western,North-Western,Luapula,Copperbelt,Central
1999-01-31,0,-0.3644901,-0.30510315,0.32873493,0.1994601,-0.056029987,-0.98862517,-0.7335765,-0.36726084,-0.38323033,-0.20088294
1999-02-28,0,-0.7220941,-0.027836243,-0.29627186,0.81498426,0.07350806,-1.2701344,-0.9450388,-0.84264636,-0.69339466,-0.019243395
1999-03-31,0,-0.4602531,0.16165338,-0.067367986,0.90259624,0.20523551,-0.9864219,-0.39622256,-0.096284166,-0.12009839,0.2629849
1999-04-30,0,-0.20943184,0.29585305,0.28687212,0.9570681,0.23413041,-0.9529572,-0.3315517,0.23981282,-0.0126512125,0.34873626
1999-05-31,0,-0.1913019,0.31919053,0.3209728,0.94037515,0.20767495,-0.9757701,-0.34211808,0.27379957,-0.0053319647,0.35113087
1999-06-30,0,-0.16834795,0.32421976,0.32688665,0.95181334,0.20938328,-0.986101,-0.34908566,0.27648723,0.0031045654,0.36119434
1999-07-31,0,-0.15055239,0.35632738,0.33718416,0.99292827,0.24378291,-0.9554164,-0.3293655,0.28842074,0.03530081,0.39864102
1999-08-31,0,-0.09050519,0.40824392,0.42019653,1.0248199,0.29225388,-0.91709226,-0.28258282,0.35509163,0.09762481,0.4457606
1999-09-30,0,-0.069720715,0.42378962,0.48326412,1.0643946,0.32540616,-0.89607185,-0.2258236,0.41458622,0.12375,0.4747172
1999-10-31,0,-0.054578636,0.48974192,0.43157327,1.1015605,0.34002942,-0.8804909,-0.21813287,0.33874214,0.10518281,0.48818684
1999-11-30,0,0.11653133,0.6351952,0.6441486,1.0901546,0.36859357,-0.7891248,-0.25415522,0.36264047,-0.035244517,0.47533423
1999-12-31,0,-0.12128316,0.2543843,0.54251707,0.9798559,0.31078193,-0.7726814,-0.2833824,0.20016132,-0.29570588,0.24054132
2000-01-31,0,-0.33593544,0.071791954,0.35957143,1.0188223,0.12939312,-0.9837619,-0.4043587,0.19445331,-0.20003323,0.22655794
2000-02-29,0,-0.65500957,-0.019931585,-0.10000196,1.1117971,0.3337315,-0.8097491,-0.63907033,0.008713113,-0.117973745,0.3465958
2000-03-31,0,-0.6032711,0.11129854,-0.24153098,1.2988857,0.5448114,-0.34566298,-0.43404362,0.02119404,0.2880081,0.70184666
2000-04-30,0,-0.71075356,0.14425361,-0.37008774,1.3266822,0.59450734,-0.27984038,-0.4146833,-0.13062774,0.28062463,0.7283123
2000-05-31,0,-0.78666717,0.094417505,-0.48132035,1.2836394,0.60320944,-0.256084,-0.456284,-0.23677394,0.19949439,0.68117845
2000-06-30,0,-0.7999913,0.09675775,-0.49745908,1.313371,0.6287938,-0.2350279,-0.4347302,-0.24103396,0.22328189,0.6996169
2000-07-31,0,-0.8092791,0.10006434,-0.5242792,1.3185322,0.64186317,-0.22963855,-0.4358021,-0.26651868,0.23503281,0.71434075
2000-08-31,0,-0.770633,0.12896538,-0.4825053,1.3706838,0.697115,-0.18928973,-0.38269946,-0.24094826,0.29291645,0.7702408
2000-09-30,0,-0.78334457,0.12918162,-0.5341379,1.3940918,0.7256964,-0.17024022,-0.4082455,-0.27823028,0.27306774,0.7747984
2000-10-31,0,-0.7762231,0.14460148,-0.48946798,1.4413526,0.7776231,-0.15578093,-0.39114934,-0.22852738,0.29454187,0.8024114
2000-11-30,0,-0.011099614,0.5016893,0.15790059,1.5536039,0.7117235,-0.24665119,-0.40468726,0.2759065,0.61525124,0.9800422
2000-12-31,0,0.2603063,0.40551475,0.43754137,1.58779,0.8818418,-0.0029694387,-0.28871796,0.546197,0.7895217,0.96400833
2001-01-31,0,0.6882354,0.47135442,1.037144,1.3091636,0.46735105,-0.33369336,0.009325799,1.0415456,1.0577495,0.89497
2001-02-28,0,0.4213587,0.37958646,0.8337819,1.5840127,0.7070965,-0.06323209,0.18094546,1.0787833,1.4181373,1.177913
2001-03-31,0,0.7086614,0.71242434,0.92662084,1.8466978,0.73813397,0.068817675,0.38173863,1.0824555,1.747177,1.4291792
2001-04-30,0,0.45094624,0.5260281,0.4849771,1.5778488,0.64260733,0.1059154,0.29347762,0.7977789,1.5548531,1.2235156
2001-05-31,0,0.49956283,0.55327654,0.5334257,1.5817517,0.6593736,0.12173407,0.310842,0.8139123,1.559661,1.2376616
2001-06-30,0,0.49979216,0.55736876,0.53035945,1.5861373,0.6659627,0.13507295,0.31642446,0.80490863,1.5464044,1.240941
2001-07-31,0,0.4777841,0.53360754,0.5282524,1.5593108,0.6564535,0.13024831,0.30232152,0.79226255,1.5170414,1.2149234
2001-08-31,0,0.5024626,0.5485815,0.5514388,1.5476964,0.67118484,0.15686409,0.32165948,0.81875247,1.5353216,1.2265061
2001-09-30,0,0.5164977,0.53122073,0.5976277,1.4918747,0.6398538,0.1581026,0.32783648,0.83418113,1.5108502,1.1982249
