district,year,mean_start_day
Chibombo,2000,307.6545454545454
Chisamba,2000,309.9047619047619
Chitambo,2000,308.78169014084506
Itezhi-tezhi,2000,316.0353535353535
Kabwe,2000,309.94444444444446
Kapiri Mposhi,2000,309.4954128440367
Luano,2000,309.9145299145299
Mkushi,2000,309.16
Mumbwa,2000,306.7848101265823
Ngabwe,2000,307.1875
Serenje,2000,308.97777777777776
Chililabombwe,2000,307.0
Chingola,2000,307.0
Kalulushi,2000,307.0
Kitwe,2000,307.0
Luanshya,2000,307.77777777777777
Lufwanyama,2000,307.6356589147287
Masaiti,2000,308.29545454545456
Mpongwe,2000,307.70535714285717
Mufulira,2000,307.0
Ndola,2000,307.46153846153845
Chadiza,2000,308.5
Chasefu,2000,308.1923076923077
Chipangali,2000,309.741935483871
Chipata,2000,308.6
Kasenengwa,2000,309.95454545454544
Katete,2000,309.5
Lumezi,2000,309.71311475409834
Lundazi,2000,308.7647058823529
Mambwe,2000,311.53521126760563
Nyimba,2000,309.12598425196853
Petauke,2000,309.3068181818182
Sinda,2000,309.1212121212121
Vubwi,2000,307.90909090909093
Chembe,2000,308.125
Chiengi,2000,307.80434782608694
Chifunabuli,2000,308.7837837837838
Chipili,2000,308.4339622641509
Kawambwa,2000,306.8936170212766
Lunga,2000,307.8837209302326
Mansa,2000,308.9021739130435
Milengi,2000,308.81333333333333
Mwansabombwe,2000,306.3125
Mwense,2000,308.0769230769231
Nchelenge,2000,306.2857142857143
Samfya,2000,309.0
Chilanga,2000,308.8235294117647
Chirundu,2000,319.5
Chongwe,2000,310.0
Kafue,2000,310.94736842105266
Luangwa,2000,334.0
Lusaka,2000,309.0
Rufunsa,2000,317.1913043478261
Shibuyunji,2000,308.25
Chama,2000,308.14622641509436
Chinsali,2000,307.79487179487177
Isoka,2000,308.741935483871
Kanchibiya,2000,307.3592233009709
Lavushimanda,2000,309.0982658959538
Mafinga,2000,308.82978723404256
Mpika,2000,308.9660194174757
Nakonde,2000,307.6470588235294
Shiwamg'andu,2000,307.0550458715596
Chavuma,2000,298.0740740740741
Ikelenge,2000,306.5416666666667
Kabompo,2000,305.78823529411767
Kalumbila,2000,309.1656050955414
Kasempa,2000,307.5509433962264
Manyinga,2000,308.01075268817203
Mufumbwe,2000,308.53811659192826
Mushindano,2000,307.43859649122805
