district,year,mean_start_day,start_date
Chibombo,2000,307.6545454545454,November 03
Chisamba,2000,309.9047619047619,November 05
Chitambo,2000,308.78169014084506,November 04
Itezhi-tezhi,2000,316.0353535353535,November 12
Kabwe,2000,309.94444444444446,November 05
Kapiri Mposhi,2000,309.4954128440367,November 05
Luano,2000,309.9145299145299,November 05
Mkushi,2000,309.16,November 05
Mumbwa,2000,306.7848101265823,November 02
Ngabwe,2000,307.1875,November 03
Serenje,2000,308.97777777777776,November 04
Chililabombwe,2000,307.0,November 03
Chingola,2000,307.0,November 03
Kalulushi,2000,307.0,November 03
Kitwe,2000,307.0,November 03
Luanshya,2000,307.77777777777777,November 03
Lufwanyama,2000,307.6356589147287,November 03
Masaiti,2000,308.29545454545456,November 04
Mpongwe,2000,307.7053571428572,November 03
Mufulira,2000,307.0,November 03
Ndola,2000,307.46153846153845,November 03
Chadiza,2000,308.5,November 04
Chasefu,2000,308.1923076923077,November 04
Chipangali,2000,309.741935483871,November 05
Chipata,2000,308.6,November 04
Kasenengwa,2000,309.95454545454544,November 05
Katete,2000,309.5,November 05
Lumezi,2000,309.71311475409834,November 05
Lundazi,2000,308.7647058823529,November 04
Mambwe,2000,311.53521126760563,November 07
Nyimba,2000,309.12598425196853,November 05
Petauke,2000,309.3068181818182,November 05
Sinda,2000,309.1212121212121,November 05
Vubwi,2000,307.90909090909093,November 03
Chembe,2000,308.125,November 04
Chiengi,2000,307.80434782608694,November 03
Chifunabuli,2000,308.7837837837838,November 04
Chipili,2000,308.4339622641509,November 04
Kawambwa,2000,306.8936170212766,November 02
Lunga,2000,307.8837209302326,November 03
Mansa,2000,308.9021739130435,November 04
Milengi,2000,308.81333333333333,November 04
Mwansabombwe,2000,306.3125,November 02
Mwense,2000,308.0769230769231,November 04
Nchelenge,2000,306.2857142857143,November 02
Samfya,2000,309.0,November 05
Chilanga,2000,308.8235294117647,November 04
Chirundu,2000,319.5,November 15
Chongwe,2000,310.0,November 06
Kafue,2000,310.94736842105266,November 06
Luangwa,2000,334.0,November 30
Lusaka,2000,309.0,November 05
Rufunsa,2000,317.1913043478261,November 13
Shibuyunji,2000,308.25,November 04
Chama,2000,308.1462264150944,November 04
Chinsali,2000,307.79487179487177,November 03
Isoka,2000,308.741935483871,November 04
Kanchibiya,2000,307.3592233009709,November 03
Lavushimanda,2000,309.0982658959538,November 05
Mafinga,2000,308.82978723404256,November 04
Mpika,2000,308.9660194174757,November 04
Nakonde,2000,307.6470588235294,November 03
Shiwamg'andu,2000,307.0550458715596,November 03
Chavuma,2000,298.0740740740741,October 25
Ikelenge,2000,306.5416666666667,November 02
Kabompo,2000,305.78823529411767,November 01
