,district,year,total_pop,urban_pop,pct_urban
0,Chibombo,2001,290989.5,9850.77734375,0.033852690024038665
1,Chisamba,2001,98511.9375,2.780306577682495,2.8223042285433632e-05
2,Chitambo,2001,72652.6328125,0.0,0.0
3,Itezhi-tezhi,2001,52810.48046875,34.378116607666016,0.0006509714795722958
4,Kabwe,2001,191999.625,34625.625,0.18034214910575996
5,Kapiri Mposhi,2001,161270.140625,2235.103759765625,0.013859377508468176
6,Luano,2001,19945.005859375,3.5301475524902344,0.00017699405943422748
7,Mkushi,2001,95035.34375,120.8082275390625,0.0012711926192097611
8,Mumbwa,2001,137821.8125,2882.02880859375,0.020911267645633017
9,Ngabwe,2001,46037.78125,0.0,0.0
10,Serenje,2001,72027.4921875,199.60411071777344,0.0027712211636935725
11,Chililabombwe,2001,73279.453125,11720.568359375,0.15994344744060887
12,Chingola,2001,187232.328125,73534.515625,0.3927447592058296
13,Kalulushi,2001,58926.1015625,4097.6455078125,0.06953871712464009
14,Kitwe,2001,455859.1875,152910.15625,0.3354328714719608
15,Luanshya,2001,155745.671875,28792.798828125,0.18487061939823168
16,Lufwanyama,2001,65905.875,27.288312911987305,0.0004140497779900093
17,Masaiti,2001,102384.9765625,0.0,0.0
18,Mpongwe,2001,71035.7265625,0.0,0.0
19,Mufulira,2001,130883.5625,38543.2578125,0.29448509099452425
20,Ndola,2001,371562.6875,139421.28125,0.37522949946366724
21,Chadiza,2001,62463.8203125,287.1224670410156,0.004596620341256295
22,Chasefu,2001,79566.7578125,0.0,0.0
23,Chipangali,2001,103106.3203125,0.0,0.0
24,Chipata,2001,199578.84375,4164.9658203125,0.020868774174930552
25,Kasenengwa,2001,99053.2890625,207.84654235839844,0.002098330548390501
26,Katete,2001,135215.53125,724.9800415039062,0.005361662486563697
27,Lumezi,2001,87011.078125,0.0,0.0
28,Lundazi,2001,84674.46875,0.0,0.0
29,Mambwe,2001,54115.18359375,0.0,0.0
30,Nyimba,2001,70436.6484375,0.0,0.0
