district,year,mean_growing_period
Chibombo,2000,173.4090909090909
Chisamba,2000,173.61904761904762
Chitambo,2000,178.75352112676057
Itezhi-tezhi,2000,161.83838383838383
Kabwe,2000,174.44444444444446
Kapiri Mposhi,2000,176.58715596330276
Luano,2000,178.55555555555554
Mkushi,2000,175.61
Mumbwa,2000,171.35864978902953
Ngabwe,2000,176.9625
Serenje,2000,178.42962962962963
Chililabombwe,2000,183.0
Chingola,2000,183.66666666666666
Kalulushi,2000,184.58333333333334
Kitwe,2000,182.8
Luanshya,2000,181.0
Lufwanyama,2000,182.3798449612403
Masaiti,2000,177.3409090909091
Mpongwe,2000,179.39285714285714
Mufulira,2000,183.625
Ndola,2000,178.53846153846155
Chadiza,2000,194.25
Chasefu,2000,176.8846153846154
Chipangali,2000,184.5483870967742
Chipata,2000,192.85
Kasenengwa,2000,186.45454545454547
Katete,2000,189.6
Lumezi,2000,179.15573770491804
Lundazi,2000,178.35294117647058
Mambwe,2000,181.7605633802817
Nyimba,2000,182.90551181102362
Petauke,2000,185.39772727272728
Sinda,2000,188.72727272727272
Vubwi,2000,195.36363636363637
Chembe,2000,183.95833333333334
Chiengi,2000,193.54347826086956
Chifunabuli,2000,190.1891891891892
Chipili,2000,190.1509433962264
Kawambwa,2000,191.5212765957447
Lunga,2000,188.58139534883722
Mansa,2000,188.19565217391303
Milengi,2000,191.52
Mwansabombwe,2000,191.125
Mwense,2000,188.76923076923077
Nchelenge,2000,191.53061224489795
Samfya,2000,192.75
Chilanga,2000,172.64705882352942
Chirundu,2000,171.0909090909091
Chongwe,2000,174.17857142857142
Kafue,2000,176.52631578947367
Luangwa,2000,156.04166666666666
Lusaka,2000,174.25
Rufunsa,2000,178.1478260869565
Shibuyunji,2000,170.85
Chama,2000,180.6933962264151
Chinsali,2000,179.0
Isoka,2000,191.6290322580645
Kanchibiya,2000,179.53398058252426
Lavushimanda,2000,179.78034682080926
Mafinga,2000,198.10638297872342
Mpika,2000,180.1359223300971
Nakonde,2000,194.09803921568627
Shiwamg'andu,2000,179.24770642201835
Chavuma,2000,193.5185185185185
Ikelenge,2000,206.58333333333334
Kabompo,2000,181.61176470588236
Kalumbila,2000,186.98089171974522
Kasempa,2000,174.4679245283019
Manyinga,2000,189.01075268817203
Mufumbwe,2000,175.61883408071748
Mushindano,2000,181.7017543859649
Mwinilunga,2000,201.68778280542986
Solwezi,2000,179.99319727891157
Zambezi,2000,188.10650887573965
Chilubi,2000,184.8548387096774
Kaputa,2000,193.46774193548387
Kasama,2000,178.9140625
Lunte District,2000,191.6
Lupososhi,2000,190.08695652173913
Luwingu,2000,185.1578947368421
Mbala,2000,191.76315789473685
Mporokoso,2000,192.87234042553192
Mpulungu,2000,190.4959349593496
Mungwi,2000,181.47826086956522
Nsama,2000,192.45054945054946
Senga Hill,2000,190.24137931034483
Chikankanta,2000,177.83333333333334
Choma,2000,193.15254237288136
Gwembe,2000,189.22916666666666
Kalomo,2000,187.02
Kazungula,2000,150.77232142857142
Livingstone,2000,147.88888888888889
Mazabuka,2000,167.7173913043478
Monze,2000,174.83333333333334
Namwala,2000,167.53030303030303
Pemba,2000,195.2
Siavonga,2000,182.7826086956522
Sinazongwe,2000,192.0655737704918
Zimba,2000,190.59701492537314
Kalabo,2000,162.74576271186442
Kaoma,2000,173.8272727272727
Limulunga,2000,175.20454545454547
Luampa,2000,166.5793650793651
Lukulu,2000,178.5982905982906
Mitete,2000,174.96052631578948
Mongu,2000,170.24
Mulobezi,2000,148.75333333333333
Mwandi,2000,143.62337662337663
Nalolo,2000,168.5593220338983
Nkeyema,2000,168.73333333333332
Senanga,2000,161.0763358778626
Sesheke,2000,143.75539568345323
Shang'ombo,2000,166.31958762886597
Sikongo,2000,165.7391304347826
Sioma,2000,154.76
Chibombo,2001,159.6727272727273
Chisamba,2001,156.84126984126985
Chitambo,2001,159.96478873239437
Itezhi-tezhi,2001,168.56060606060606
Kabwe,2001,159.5
Kapiri Mposhi,2001,161.92660550458714
Luano,2001,159.7094017094017
Mkushi,2001,161.33
Mumbwa,2001,167.915611814346
Ngabwe,2001,175.1125
Serenje,2001,157.74074074074073
Chililabombwe,2001,189.0625
Chingola,2001,189.66666666666666
Kalulushi,2001,189.0
Kitwe,2001,187.53333333333333
Luanshya,2001,187.0
Lufwanyama,2001,188.68992248062017
Masaiti,2001,178.38636363636363
Mpongwe,2001,182.13392857142858
Mufulira,2001,188.25
Ndola,2001,186.53846153846155
Chadiza,2001,162.75
Chasefu,2001,145.96153846153845
Chipangali,2001,146.96774193548387
Chipata,2001,152.65
Kasenengwa,2001,155.27272727272728
Katete,2001,163.1
Lumezi,2001,146.39344262295083
Lundazi,2001,146.64705882352942
Mambwe,2001,154.81690140845072
Nyimba,2001,160.45669291338584
Petauke,2001,162.8068181818182
Sinda,2001,163.45454545454547
Vubwi,2001,160.54545454545453
Chembe,2001,185.0
Chiengi,2001,197.7608695652174
Chifunabuli,2001,182.40540540540542
Chipili,2001,185.9056603773585
Kawambwa,2001,192.30851063829786
Lunga,2001,182.3953488372093
Mansa,2001,182.08695652173913
Milengi,2001,182.88
Mwansabombwe,2001,191.625
Mwense,2001,184.30769230769232
Nchelenge,2001,192.46938775510205
Samfya,2001,181.425
Chilanga,2001,157.0
Chirundu,2001,157.45454545454547
Chongwe,2001,157.21428571428572
Kafue,2001,157.19298245614036
Luangwa,2001,153.625
Lusaka,2001,157.5
Rufunsa,2001,157.58260869565217
Shibuyunji,2001,156.05
Chama,2001,144.95754716981133
Chinsali,2001,163.56410256410257
Isoka,2001,157.51612903225808
Kanchibiya,2001,182.09708737864077
Lavushimanda,2001,167.9942196531792
Mafinga,2001,167.59574468085106
Mpika,2001,167.34466019417476
Nakonde,2001,170.58823529411765
Shiwamg'andu,2001,180.03669724770643
Chavuma,2001,196.38888888888889
Ikelenge,2001,205.375
Kabompo,2001,162.94117647058823
Kalumbila,2001,190.79617834394904
Kasempa,2001,182.09811320754716
Manyinga,2001,176.86021505376345
Mufumbwe,2001,175.6322869955157
Mushindano,2001,190.47368421052633
Mwinilunga,2001,198.61990950226243
Solwezi,2001,188.8231292517007
Zambezi,2001,191.60355029585799
Chilubi,2001,183.58064516129033
Kaputa,2001,195.19354838709677
Kasama,2001,183.578125
Lunte District,2001,191.4
Lupososhi,2001,184.6304347826087
Luwingu,2001,185.50877192982455
Mbala,2001,188.73684210526315
Mporokoso,2001,193.48936170212767
Mpulungu,2001,188.7479674796748
Mungwi,2001,181.8
Nsama,2001,191.9120879120879
Senga Hill,2001,184.60344827586206
Chikankanta,2001,160.38888888888889
Choma,2001,165.59322033898306
Gwembe,2001,163.58333333333334
Kalomo,2001,165.39
Kazungula,2001,146.97321428571428
