,Unnamed: 0,district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
0,0,Chadiza,2000,0.8387689116666667,0.7818131349999999,6,Eastern,November 26,May 04
1,1,Chadiza,2001,0.3534883333333333,0.30394485,6,Eastern,November 26,May 04
2,2,Chadiza,2002,0.28125533,0.2440524899999999,6,Eastern,November 26,May 04
3,3,Chadiza,2003,0.227219068,0.21729478,5,Eastern,November 26,May 04
4,4,Chadiza,2004,0.0251942433333333,0.084611825,6,Eastern,November 26,May 04
5,5,Chadiza,2005,-0.712003398,-0.76374835,5,Eastern,November 26,May 04
6,6,Chadiza,2006,0.1339450509999999,0.139090685,6,Eastern,November 26,May 04
7,7,Chadiza,2007,0.7602981440000001,0.8300857,5,Eastern,November 26,May 04
8,8,Chadiza,2008,0.1888554596666666,0.08238831,6,Eastern,November 26,May 04
9,9,Chadiza,2009,1.7621904499999996,1.91514445,6,Eastern,November 26,May 04
10,10,Chadiza,2010,1.7332198666666667,1.6691907,6,Eastern,November 26,May 04
11,11,Chadiza,2011,1.2511674,1.1900319,4,Eastern,November 26,May 04
12,12,Chadiza,2012,1.7177925833333332,1.7737476,6,Eastern,November 26,May 04
13,13,Chadiza,2013,0.1182234673999999,0.026024647,5,Eastern,November 26,May 04
14,14,Chadiza,2014,-0.8101022666666666,-0.87666668,6,Eastern,November 26,May 04
15,15,Chadiza,2015,-1.4706727333333334,-1.55335065,6,Eastern,November 26,May 04
16,16,Chadiza,2016,-1.47183885,-1.4612954,6,Eastern,November 26,May 04
17,17,Chadiza,2017,-0.9929727916666669,-0.9250785,6,Eastern,November 26,May 04
18,18,Chadiza,2018,-0.41827229,-0.35789689,6,Eastern,November 26,May 04
19,19,Chadiza,2019,0.282297126,0.21732996,5,Eastern,November 26,May 04
20,20,Chadiza,2020,0.1992157384,0.18316655,5,Eastern,November 26,May 04
21,21,Chadiza,2021,-0.0610551332,-0.073723026,5,Eastern,November 26,May 04
22,22,Chama,2000,0.0784576173333333,0.092725235,6,Muchinga,November 24,May 12
23,23,Chama,2001,-0.7399908,-0.7597308,4,Muchinga,November 24,May 12
24,24,Chama,2002,0.0875429039999999,0.1473332769999999,6,Muchinga,November 24,May 12
25,25,Chama,2003,0.4288790879999999,0.4412565,5,Muchinga,November 24,May 12
26,26,Chama,2004,0.4276592583333334,0.47236073,6,Muchinga,November 24,May 12
27,27,Chama,2005,-0.4598228249999999,-0.526973245,4,Muchinga,November 24,May 12
28,28,Chama,2006,-0.0787659861666666,-0.008260956,6,Muchinga,November 24,May 12
29,29,Chama,2007,0.305069181,0.40947118,5,Muchinga,November 24,May 12
30,30,Chama,2008,-0.779673416,-1.014973,5,Muchinga,November 24,May 12
31,31,Chama,2009,0.7333797433333333,0.8014343749999999,6,Muchinga,November 24,May 12
32,32,Chama,2010,0.1197951939999999,0.05372587,5,Muchinga,November 24,May 12
33,33,Chama,2011,-0.127889758,-0.13153696,5,Muchinga,November 24,May 12
34,34,Chama,2012,0.2581711233333333,0.26063839,6,Muchinga,November 24,May 12
35,35,Chama,2013,-0.3168699433333333,-0.35193834,6,Muchinga,November 24,May 12
36,36,Chama,2014,-0.5620613899999999,-0.5739523,6,Muchinga,November 24,May 12
37,37,Chama,2015,-0.9236150666666668,-0.96063305,6,Muchinga,November 24,May 12
38,38,Chama,2016,-1.2864412,-1.2478257,6,Muchinga,November 24,May 12
39,39,Chama,2017,-0.96637552,-1.01643882,6,Muchinga,November 24,May 12
40,40,Chama,2018,-0.2348066133999999,-0.22438292,5,Muchinga,November 24,May 12
41,41,Chama,2019,0.427709636,0.5108708,5,Muchinga,November 24,May 12
42,42,Chama,2020,1.116368814,1.1295168,5,Muchinga,November 24,May 12
43,43,Chama,2021,0.73490959,0.91710067,5,Muchinga,November 24,May 12
44,44,Chasefu,2000,-0.2305620876,-0.29614013,5,Eastern,November 26,May 04
45,45,Chasefu,2001,-0.944383026,-1.0105234,5,Eastern,November 26,May 04
46,46,Chasefu,2002,-0.0230042034,-0.07761974,5,Eastern,November 26,May 04
47,47,Chasefu,2003,0.408069196,0.41304392,5,Eastern,November 26,May 04
48,48,Chasefu,2004,0.4006719271666666,0.45515403,6,Eastern,November 26,May 04
49,49,Chasefu,2005,-0.5108876,-0.5793258750000001,4,Eastern,November 26,May 04
50,50,Chasefu,2006,-0.233032275,-0.290424075,6,Eastern,November 26,May 04
51,51,Chasefu,2007,-0.11546522,-0.09759272,4,Eastern,November 26,May 04
52,52,Chasefu,2008,-1.28136041,-1.4561372,5,Eastern,November 26,May 04
53,53,Chasefu,2009,0.3291162616666667,0.41843833,6,Eastern,November 26,May 04
54,54,Chasefu,2010,-0.1193812518333333,-0.142535133,6,Eastern,November 26,May 04
55,55,Chasefu,2011,-0.074722286,-0.14479102,5,Eastern,November 26,May 04
56,56,Chasefu,2012,0.5931879566666666,0.5962269499999999,6,Eastern,November 26,May 04
57,57,Chasefu,2013,-0.0666546515999999,-0.01309309,5,Eastern,November 26,May 04
58,58,Chasefu,2014,-0.6017485233333333,-0.5834093650000001,6,Eastern,November 26,May 04
59,59,Chasefu,2015,-1.29208572,-1.4041331,5,Eastern,November 26,May 04
60,60,Chasefu,2016,-1.76355535,-1.80045865,6,Eastern,November 26,May 04
61,61,Chasefu,2017,-1.3100826,-1.3358843,5,Eastern,November 26,May 04
62,62,Chasefu,2018,-0.0556303819999999,-0.09421471,5,Eastern,November 26,May 04
63,63,Chasefu,2019,0.8094781940000001,0.81609994,5,Eastern,November 26,May 04
64,64,Chasefu,2020,1.33868306,1.3293462,5,Eastern,November 26,May 04
65,65,Chasefu,2021,1.0742653519999998,1.2144549,5,Eastern,November 26,May 04
66,66,Chavuma,2000,-0.7657944285714287,-0.77383995,7,North-Western,November 04,May 06
67,67,Chavuma,2001,-0.7691444985714285,-0.7175343,7,North-Western,November 04,May 06
68,68,Chavuma,2002,-0.94655409,-0.9673665,7,North-Western,November 04,May 06
69,69,Chavuma,2003,-0.516065385,-0.41518389,6,North-Western,November 04,May 06
70,70,Chavuma,2004,-0.3919095928571429,-0.26630005,7,North-Western,November 04,May 06
71,71,Chavuma,2005,-0.9730125428571428,-0.97312397,7,North-Western,November 04,May 06
72,72,Chavuma,2006,-0.9653953228571428,-0.8507335,7,North-Western,November 04,May 06
73,73,Chavuma,2007,-1.20188371,-1.1010157,7,North-Western,November 04,May 06
74,74,Chavuma,2008,-1.05729751,-1.03080678,6,North-Western,November 04,May 06
75,75,Chavuma,2009,-0.0493459990833333,-0.10887658225,6,North-Western,November 04,May 06
76,76,Chavuma,2010,0.4299376948571428,0.4615873,7,North-Western,November 04,May 06
77,77,Chavuma,2011,0.8776910666666667,0.8991549,6,North-Western,November 04,May 06
78,78,Chavuma,2012,0.7921545566666667,0.7610672700000001,6,North-Western,November 04,May 06
79,79,Chavuma,2013,0.8058198599999999,0.7540967,7,North-Western,November 04,May 06
80,80,Chavuma,2014,0.6050087650000001,0.56970245,6,North-Western,November 04,May 06
81,81,Chavuma,2015,0.1456363748,0.08587224,5,North-Western,November 04,May 06
82,82,Chavuma,2016,0.2397979391666666,0.2634302149999999,6,North-Western,November 04,May 06
83,83,Chavuma,2017,0.435513465,0.404532825,6,North-Western,November 04,May 06
84,84,Chavuma,2018,0.0092971283333333,0.035477808,6,North-Western,November 04,May 06
85,85,Chavuma,2019,0.2246263271428571,0.09406031,7,North-Western,November 04,May 06
86,86,Chavuma,2020,0.8360804014285713,0.8870162,7,North-Western,November 04,May 06
87,87,Chavuma,2021,0.3156654228,0.2766677,5,North-Western,November 04,May 06
88,88,Chembe,2000,1.01871896,1.2052584,6,Luapula,November 10,May 14
89,89,Chembe,2001,0.7974468366666668,0.70950498,6,Luapula,November 10,May 14
90,90,Chembe,2002,1.2492642833333334,1.2006805,6,Luapula,November 10,May 14
91,91,Chembe,2003,1.1805303733333332,1.22184325,6,Luapula,November 10,May 14
92,92,Chembe,2004,0.6326389596666667,0.76638432,6,Luapula,November 10,May 14
93,93,Chembe,2005,-0.6441519633333334,-0.6583233,6,Luapula,November 10,May 14
94,94,Chembe,2006,-0.4344773266666666,-0.43379374,6,Luapula,November 10,May 14
95,95,Chembe,2007,-0.2350969728571428,-0.27006015,7,Luapula,November 10,May 14
96,96,Chembe,2008,-0.524564986,-0.54861397,5,Luapula,November 10,May 14
97,97,Chembe,2009,0.671558525,0.714965665,6,Luapula,November 10,May 14
98,98,Chembe,2010,0.3682650066666666,0.40562397,6,Luapula,November 10,May 14
