district,year,spei
Chadiza,1999,0.599624895
Chadiza,2000,0.6807551866666667
Chadiza,2001,0.7164113075
Chadiza,2002,0.3603770375
Chadiza,2003,0.23432596258333335
Chadiza,2004,0.16992486625
Chadiza,2005,-0.5562536058333333
Chadiza,2006,-0.38068662200000003
Chadiza,2007,0.19625012191666666
Chadiza,2008,0.4948355523333334
Chadiza,2009,0.7938063125
Chadiza,2010,1.915869925
Chadiza,2011,1.5210839083333332
Chadiza,2012,1.6944936583333332
Chadiza,2013,1.3196537525
Chadiza,2014,-0.21807727441666666
Chadiza,2015,-0.9692468808333333
Chadiza,2016,-1.7095301083333334
Chadiza,2017,-1.1712153
Chadiza,2018,-0.8628333224999999
Chadiza,2019,-0.2061271925
Chadiza,2020,0.2561803325
Chadiza,2021,0.09977070466666667
Chadiza,2022,0.0652363855
Chama,1999,-0.5768912766666666
Chama,2000,-1.0049792171666667
Chama,2001,0.10195624666666665
Chama,2002,-0.6089164321666667
Chama,2003,0.09496918285833333
Chama,2004,0.56896665
Chama,2005,0.10472543969999999
Chama,2006,-0.451473355
Chama,2007,0.004504416916666666
Chama,2008,0.11409769833333333
Chama,2009,-0.30222364166666665
Chama,2010,0.8076751966666667
Chama,2011,0.044186275000000004
Chama,2012,-0.007064802691666668
Chama,2013,0.066995285
Chama,2014,-0.34738838
Chama,2015,-0.7211817475000001
Chama,2016,-1.0512852841666667
Chama,2017,-1.0650072400000001
Chama,2018,-1.0370954341666667
Chama,2019,-0.06591123080833333
Chama,2020,0.5859360558333333
Chama,2021,1.0943936408333335
Chama,2022,0.9944168725
Chasefu,1999,-0.43465016083333335
Chasefu,2000,-1.1197588708333333
Chasefu,2001,-0.2756220665
Chasefu,2002,-0.7284692025
Chasefu,2003,-0.06305257266666667
Chasefu,2004,0.5415781541666667
Chasefu,2005,0.03158975325
Chasefu,2006,-0.59263539
Chasefu,2007,-0.22404938500000002
Chasefu,2008,-0.41124803000000004
Chasefu,2009,-0.8235842766666667
Chasefu,2010,0.50207020625
Chasefu,2011,-0.22280529466666665
Chasefu,2012,0.20457922416666666
Chasefu,2013,0.522051711
Chasefu,2014,-0.19663633666666666
Chasefu,2015,-0.8380740825
Chasefu,2016,-1.5757358750000001
Chasefu,2017,-1.5754566416666667
Chasefu,2018,-1.2961335999999999
Chasefu,2019,0.3533824458333333
Chasefu,2020,0.8990013341666666
Chasefu,2021,1.3625291966666666
Chasefu,2022,1.3180308416666666
Chavuma,1999,-1.181083825
Chavuma,2000,-0.8580083366666665
Chavuma,2001,-0.6230748716666666
Chavuma,2002,-0.9566613250000001
Chavuma,2003,-0.8445549575000001
Chavuma,2004,-0.23982124166666666
Chavuma,2005,-0.7663299625
Chavuma,2006,-0.9245100391666666
Chavuma,2007,-1.1572779691666668
Chavuma,2008,-1.4197382416666666
Chavuma,2009,-0.62260338
Chavuma,2010,0.100007238625
Chavuma,2011,0.8431262266666667
Chavuma,2012,0.9061883841666667
Chavuma,2013,0.50576593
Chavuma,2014,1.1963546708333335
Chavuma,2015,0.3432367289166667
Chavuma,2016,0.30551838808333337
Chavuma,2017,0.47054124875000003
Chavuma,2018,0.25626790616666667
Chavuma,2019,-0.15832891033333332
Chavuma,2020,0.71861418
Chavuma,2021,0.6989458741666666
Chavuma,2022,0.17778676725
Chembe,1999,-0.462004225
Chembe,2000,-0.26219088500000004
Chembe,2001,1.2853031125
Chembe,2002,0.7983441450000001
Chembe,2003,1.0756586783333333
Chembe,2004,1.177645425
Chembe,2005,-0.08135249683333333
Chembe,2006,-0.6493625666666667
Chembe,2007,-0.3870092541666667
Chembe,2008,-0.45295245749999996
Chembe,2009,0.05090487983333333
Chembe,2010,0.7663845008333333
Chembe,2011,0.4006225016666667
Chembe,2012,1.1668667616666666
Chembe,2013,0.6389447908333333
Chembe,2014,0.23104893583333333
Chembe,2015,-0.6862369791666666
Chembe,2016,-1.2977312666666667
Chembe,2017,-0.8851543999999999
Chembe,2018,-0.46473500333333334
Chembe,2019,0.9559908616666667
Chembe,2020,0.9531987041666667
Chembe,2021,1.3360282083333335
Chembe,2022,0.6231330325000001
Chibombo,1999,-0.14597536214166665
Chibombo,2000,0.5971678196666667
Chibombo,2001,1.1752257874999998
Chibombo,2002,0.8817319916666667
Chibombo,2003,1.00513405
Chibombo,2004,0.9643556108333334
Chibombo,2005,-0.6340005991666667
Chibombo,2006,-0.04333901600000001
Chibombo,2007,-0.16254929333333334
Chibombo,2008,0.26625063983333336
Chibombo,2009,1.3175347641666666
Chibombo,2010,1.9362548000000002
Chibombo,2011,1.7843568916666666
Chibombo,2012,1.1411000908333333
Chibombo,2013,0.913454935
Chibombo,2014,0.05969725658333333
Chibombo,2015,-0.2090725691666667
Chibombo,2016,-0.5622501758333334
Chibombo,2017,0.209765185
Chibombo,2018,0.7044453501666667
Chibombo,2019,-0.00036566558333333415
Chibombo,2020,-0.20071229833333334
Chibombo,2021,-0.49062429083333337
Chibombo,2022,-0.7168619574999999
Chiengi,1999,0.0368397725
Chiengi,2000,0.2310353985
Chiengi,2001,-0.19793334083333333
Chiengi,2002,-0.4188887691666667
Chiengi,2003,-0.8529751220833334
Chiengi,2004,-0.8314800783333333
Chiengi,2005,-0.44587525250000004
Chiengi,2006,-1.1649907566666666
Chiengi,2007,-0.450477175
Chiengi,2008,-0.3062013429166667
Chiengi,2009,-0.557175795
Chiengi,2010,-0.5406549978333334
Chiengi,2011,-1.2009469858333333
Chiengi,2012,-1.226585275
Chiengi,2013,-0.7949548516666667
Chiengi,2014,0.17729857158333331
Chiengi,2015,0.767625095
Chiengi,2016,1.1153616616666666
Chiengi,2017,0.43746942166666664
Chiengi,2018,0.27956461516666664
Chiengi,2019,0.5797461958333333
Chiengi,2020,0.7895737883333332
Chiengi,2021,1.0585156
Chiengi,2022,1.0214667891666667
Chifunabuli,1999,0.8654452803333333
Chifunabuli,2000,0.2482009281666667
Chifunabuli,2001,0.9198090611666667
Chifunabuli,2002,0.4178901
Chifunabuli,2003,0.48784752000000003
Chifunabuli,2004,0.8960029291666666
Chifunabuli,2005,0.2621143645833333
Chifunabuli,2006,-0.20772156500000002
Chifunabuli,2007,0.6241445541666667
Chifunabuli,2008,0.4424638760833333
Chifunabuli,2009,0.8437589124999999
Chifunabuli,2010,1.0769171466666667
Chifunabuli,2011,0.249372845
