date,spatial_ref,Chibombo,Chisamba,Chitambo,Itezhi-tezhi,Kabwe,Kapiri Mposhi,Luano,Mkushi,Mumbwa,Ngabwe,Serenje,Chililabombwe,Chingola,Kalulushi,Kitwe,Luanshya,Lufwanyama,Masaiti,Mpongwe,Mufulira,Ndola,Chadiza,Chasefu,Chipangali,Chipata,Kasenengwa,Katete,Lumezi,Lundazi,Mambwe,Nyimba,Petauke,Sinda,Vubwi,Chembe,Chiengi,Chifunabuli,Chipili,Kawambwa,Lunga,Mansa,Milengi,Mwansabombwe,Mwense,Nchelenge,Samfya,Chilanga,Chirundu,Chongwe,Kafue,Luangwa,Lusaka,Rufunsa,Shibuyunji,Chama,Chinsali,Isoka,Kanchibiya,Lavushimanda,Mafinga,Mpika,Nakonde,Shiwamg'andu,Chavuma,Ikelenge,Kabompo,Kalumbila,Kasempa,Manyinga,Mufumbwe,Mushindano,Mwinilunga,Solwezi,Zambezi,Chilubi,Kaputa,Kasama,Lunte District,Lupososhi,Luwingu,Mbala,Mporokoso,Mpulungu,Mungwi,Nsama,Senga Hill,Chikankanta,Choma,Gwembe,Kalomo,Kazungula,Livingstone,Mazabuka,Monze,Namwala,Pemba,Siavonga,Sinazongwe,Zimba,Kalabo,Kaoma,Limulunga,Luampa,Lukulu,Mitete,Mongu,Mulobezi,Mwandi,Nalolo,Nkeyema,Senanga,Sesheke,Shang'ombo,Sikongo,Sioma
1999-01-31,0,-0.7121132,-0.324876,-0.31685677,-0.17489554,-0.40089133,-0.038230333,0.54273766,0.2857042,-0.48225716,-0.6561507,0.13471428,-0.9739038,-0.97571594,-0.70368004,-0.38776678,-0.12898818,-0.42903882,0.15757951,-0.36895508,-0.7494805,-0.25246415,-0.23302169,-0.88401085,-0.63712835,-0.50498813,-0.47809422,-0.12031382,-0.8022327,-1.2747474,-0.4372046,0.31651464,0.005752387,0.010230701,-0.5943995,-0.7887226,-0.37419033,0.6240496,-0.29244974,-0.69562185,0.31790835,-0.4209729,-0.5730119,-0.84277,-0.5612682,-0.52067316,-0.011745038,-0.55309886,-0.060014576,-0.4633964,-0.087264486,0.68820506,-0.4799851,0.42593622,-0.5489388,-0.79042333,0.17387383,-0.19527118,-0.1150646,-0.28618282,-0.71679735,-0.645206,-0.06388678,-0.55214006,-1.3037573,0.2570779,-0.88568646,-0.5294908,-0.89933383,-0.5434998,-0.6934739,-0.9432686,-0.28893268,-0.68367624,-1.2807016,0.8956929,-0.37812474,0.82434493,0.42622125,0.5678116,0.8530395,-0.1498575,-0.13618097,0.20015451,0.2906962,0.045256343,-0.14675009,0.05758448,0.304579,0.49988747,-0.035384953,-0.38533068,-0.62359935,-0.22141193,0.12569995,-0.015102201,0.43261364,0.25934651,0.28444466,-0.00572839,-1.3686012,-0.91683567,-1.0881684,-0.30856287,-1.1944789,-1.41711,-0.949173,-0.597497,-0.71591234,-0.78192,-0.21413197,-0.96563655,-1.1192068,-1.388586,-1.2518172,-1.3106711
1999-02-28,0,-0.44970137,0.09819602,-0.23306583,-0.12192046,-0.1861687,0.1384816,0.91288626,0.4978755,-0.36849034,-0.7295538,0.32696703,-1.3661113,-1.2969934,-0.9810399,-0.8231798,-0.53221947,-0.8037386,-0.008915786,-0.599971,-1.2694905,-0.60626644,0.14542893,-1.0613616,-0.4812884,-0.21361943,-0.17293958,0.332076,-0.81306416,-1.2931952,-0.23331676,0.6928825,0.57352686,0.6836986,-0.30580747,-1.2816615,-0.8014953,0.115944974,-0.73723817,-1.279986,-0.0033101584,-0.88363695,-1.0702109,-1.3148946,-0.9368439,-1.0432415,-0.41891897,-0.17661059,0.44395348,0.055723432,0.5107335,1.4710705,-0.024697632,1.0422289,-0.22063592,-1.1489358,-0.6410768,-0.8079975,-0.40840706,-0.21359923,-1.180319,-0.7675932,-0.6232978,-1.1065276,-1.4593673,0.040111747,-1.1668117,-0.6683714,-1.0445938,-0.89330673,-0.886665,-1.4105555,-0.508266,-0.90102154,-1.4946218,0.40877753,-0.9958312,0.17408474,-0.2265947,0.08676178,0.2647863,-0.83185154,-0.9437147,-0.46787503,-0.42916346,-0.6329518,-0.7308478,0.37266555,0.5809028,0.6962361,0.16617006,-0.4692753,-0.6308944,0.04228074,0.33251077,0.22840193,0.65026456,0.58005005,0.5312526,0.07575321,-1.541389,-1.3073059,-1.4048116,-0.67112136,-1.4441038,-1.675804,-1.2592202,-0.87183404,-1.0297971,-1.1534828,-0.39423054,-1.2962416,-1.349432,-1.656487,-1.4574523,-1.5709124
1999-03-31,0,-0.25083077,0.32140648,0.12278219,0.044347174,0.07597653,0.42105225,1.0676672,0.73936,-0.052043293,-0.3025389,0.6280053,-0.7571494,-0.70910347,-0.31843978,-0.1429295,-0.004013903,-0.14268164,0.34522995,-0.06441099,-0.5485262,-0.15150425,0.4452657,-0.67463446,-0.34400216,0.03975245,-0.028534759,0.5447222,-0.66835314,-0.9178674,-0.04704934,0.8551839,0.74057025,0.8850857,0.035049953,-0.5601891,-0.13695441,0.6915316,0.21963257,-0.44263625,0.3880134,-0.095439665,-0.44539008,-0.31362858,0.02007718,-0.052422907,0.07648786,-0.048457902,0.616758,0.19208492,0.5847759,1.5122328,0.09960985,1.1369253,-0.10490052,-0.8699795,-0.5004391,-0.60984313,0.061346438,0.15797254,-1.0468938,-0.47259533,-0.5057921,-0.8155028,-1.233517,0.10230962,-0.5865177,0.11952005,-0.40552258,-0.39592224,-0.335417,-0.8329388,-0.121324785,-0.10052812,-1.130278,0.76638865,-0.55795974,0.25482383,-0.006390966,0.6765476,0.62235844,-0.8987738,-0.5524403,-0.39031875,-0.42268476,-0.3178451,-0.7016972,0.5474225,0.67462516,0.8487825,0.2635672,-0.3101816,-0.49802783,0.12528819,0.42996234,0.2946287,0.7919787,0.78556746,0.6628119,0.15494047,-1.2141979,-0.93980855,-0.9997781,-0.4002463,-1.0572417,-1.4217842,-0.8431224,-0.67249644,-0.8108305,-0.78740567,-0.07913883,-0.9888974,-1.1903834,-1.4202744,-1.1250185,-1.3926295
1999-04-30,0,-0.14019798,0.41846368,0.21629898,0.08369375,0.18916161,0.5128918,1.1283069,0.8324638,0.01713307,-0.21530361,0.716139,-0.6388693,-0.5888054,-0.18950416,0.0058035776,0.1206872,-0.040618364,0.46348855,0.027672736,-0.42113647,-0.022562156,0.6150948,-0.39610416,-0.21799651,0.21690337,0.13732105,0.7223436,-0.5328529,-0.7892419,0.09496351,0.918982,0.872687,1.0663058,0.21263857,-0.3432545,0.10931493,0.97916305,0.7180003,0.07472412,0.61027706,0.22806053,-0.20936266,0.18664834,0.5240403,0.14416486,0.32155484,0.031397294,0.67119724,0.25937298,0.63595086,1.5625589,0.16808727,1.1872128,-0.02212954,-0.5907178,-0.08628099,-0.1082606,0.25646228,0.25578713,-0.48721308,-0.36800486,-0.20617455,-0.61446863,-1.1407269,0.15399465,-0.5589894,0.17344095,-0.34085092,-0.3570632,-0.27869594,-0.7078462,-0.05041762,-0.0025339741,-1.0763738,1.0903958,-0.27579534,0.7243029,0.42173573,1.0509458,1.044239,-0.62561625,-0.15553863,-0.117409356,-0.030577386,-0.07694623,-0.3556626,0.5987885,0.7069387,0.87681955,0.29415002,-0.31089628,-0.5037998,0.18053359,0.47282848,0.32761982,0.8240146,0.83669597,0.69392085,0.18480973,-1.168054,-0.8811273,-0.96955425,-0.35782307,-0.99892074,-1.327394,-0.8340077,-0.657358,-0.8166981,-0.76322794,-0.006313335,-0.9768182,-1.200667,-1.3723251,-1.0877178,-1.354055
1999-05-31,0,-0.13159867,0.4128565,0.22443601,0.06191325,0.20403606,0.5231991,1.1175929,0.8393013,0.008685096,-0.20078968,0.722731,-0.6246924,-0.5793701,-0.18273377,0.010803882,0.12897569,-0.0372267,0.47296008,0.037862156,-0.4074079,-0.016560568,0.647046,-0.38468918,-0.19025834,0.25373006,0.181477,0.7579983,-0.5138592,-0.7720543,0.1274592,0.9284656,0.89745504,1.0976114,0.24098904,-0.32751915,0.16715847,0.99942154,0.73635125,0.1398238,0.6301011,0.25012642,-0.19113438,0.24473065,0.5401572,0.21323615,0.3365617,0.027715331,0.66623795,0.24177669,0.6135241,1.55832,0.15848456,1.166291,-0.023118544,-0.56969976,-0.06133525,-0.09485479,0.27509242,0.26640838,-0.49165276,-0.35081077,-0.18876979,-0.58562756,-1.1683065,0.15549895,-0.5888171,0.16524145,-0.3388971,-0.374098,-0.29696518,-0.70299447,-0.05699718,0.00013397235,-1.1029023,1.1236655,-0.22071142,0.7422697,0.4617792,1.0717183,1.064071,-0.6111221,-0.07158618,-0.089626096,-0.008411571,-0.025461692,-0.3404775,0.58989793,0.67587775,0.8650344,0.25443274,-0.3505545,-0.5517381,0.16661519,0.4539453,0.30563992,0.8011365,0.83282524,0.68309623,0.14595662,-1.1814654,-0.9007777,-0.98818654,-0.38351735,-1.017406,-1.3449479,-0.8553384,-0.68870056,-0.85160804,-0.78210735,-0.024769325,-0.99899006,-1.2324747,-1.3983368,-1.0973823,-1.3775047
1999-06-30,0,-0.11538557,0.42881224,0.23299557,0.05993308,0.22155978,0.53727823,1.124601,0.85283214,0.012384369,-0.18876232,0.73202205,-0.6165605,-0.5752607,-0.17807797,0.0134906145,0.13212544,-0.03027744,0.48274833,0.050798845,-0.39986655,-0.012426079,0.66430426,-0.38082063,-0.19329599,0.26338467,0.1871845,0.77361405,-0.51800096,-0.7679729,0.1289037,0.9357832,0.9051591,1.1165196,0.25303996,-0.31762406,0.15028906,0.99182886,0.74044746,0.15680875,0.624311,0.2544192,-0.18631527,0.24785972,0.5347219,0.21499498,0.33492643,0.04640578,0.6816345,0.2576152,0.62979305,1.5675976,0.1772184,1.1740106,-0.007322139,-0.5384194,-0.018346537,-0.06407137,0.28755346,0.2753428,-0.4641409,-0.3385617,-0.16454117,-0.5576965,-1.1822395,0.15549889,-0.6117339,0.1557847,-0.33602265,-0.39187962,-0.30731383,-0.699742,-0.0578415,0.002467618,-1.122829,1.1174796,-0.23577146,0.75411046,0.47911498,1.0795877,1.0726205,-0.59746253,-0.056577418,-0.08946693,0.024458198,-0.033918183,-0.31930754,0.60477036,0.68008214,0.8681179,0.25812784,-0.35581318,-0.5519888,0.17683992,0.45857042,0.3044815,0.80438995,0.8417742,0.6888622,0.1506652,-1.1901546,-0.9081123,-1.00273,-0.3891877,-1.0317851,-1.3562014,-0.8671503,-0.70075995,-0.86182183,-0.7937112,-0.02881453,-1.0125228,-1.2476994,-1.4037534,-1.1027102,-1.3888907
1999-07-31,0,-0.067443036,0.47673026,0.2613343,0.08534324,0.2656289,0.5764913,1.1606492,0.8896735,0.048426818,-0.14466542,0.763911,-0.5972083,-0.5567567,-0.15207861,0.03805111,0.15990497,0.001878162,0.51722616,0.08952102,-0.37689704,0.013928439,0.71556884,-0.34778753,-0.16524214,0.30642232,0.22456424,0.8268828,-0.4986162,-0.7291608,0.1545072,0.9629586,0.94162565,1.1759279,0.2945754,-0.2987292,0.13154097,1.0012021,0.75017285,0.17804627,0.636774,0.26893488,-0.16804247,0.25116524,0.5391639,0.22045623,0.351476,0.09045352,0.7197546,0.3085697,0.6805844,1.595561,0.22453275,1.2130122,0.032073274,-0.5141323,0.002245221,-0.049625237,0.30633327,0.29728267,-0.44384563,-0.32746148,-0.16281101,-0.5372009,-1.1753739,0.17147103,-0.59377474,0.16666733,-0.30191067,-0.37964925,-0.27842093,-0.6812097,-0.04697632,0.025707198,-1.11114,1.1309696,-0.24127683,0.770014,0.49439406,1.0930052,1.0871315,-0.58929294,-0.032643043,-0.085014604,0.03696554,-0.030201694,-0.31134686,0.65077686,0.7178785,0.8871041,0.29969049,-0.31457064,-0.50731254,0.21489158,0.49058872,0.32724285,0.8383516,0.86766833,0.71614474,0.19559982,-1.1696898,-0.8784649,-0.9779604,-0.3533979,-1.0083694,-1.3399214,-0.8414349,-0.6588474,-0.82106745,-0.76423794,0.009173974,-0.9801083,-1.2123137,-1.3722076,-1.0762222,-1.3580096
1999-08-31,0,-0.003864056,0.52527595,0.31583667,0.13331507,0.3198741,0.62418544,1.1824931,0.93452334,0.09700454,-0.08979033,0.80280876,-0.5296309,-0.493149,-0.08404485,0.10407579,0.22521749,0.06706165,0.579269,0.14505269,-0.31038606,0.077881776,0.7691227,-0.26608416,-0.09703551,0.37205145,0.28770953,0.87781435,-0.43699023,-0.6664031,0.20941058,0.9933211,0.9865344,1.2234249,0.35625944,-0.23380122,0.16186287,1.0494936,0.8171936,0.2747008,0.70680624,0.33316153,-0.08821911,0.29391092,0.6011915,0.24266103,0.43608388,0.1444188,0.77101034,0.3569159,0.7283241,1.6143844,0.2753097,1.2352314,0.08719746,-0.4490924,0.06948182,-0.004151533,0.37311548,0.34899187,-0.39512214,-0.28585744,-0.0968056,-0.46052656,-1.1645315,0.21697469,-0.56591773,0.22849147,-0.24911477,-0.34368762,-0.23571856,-0.6033957,0.0041839057,0.095875636,-1.0907824,1.1902683,-0.16915266,0.8438004,0.5988417,1.1441178,1.1464667,-0.49497652,0.09329189,0.0060363906,0.11611794,0.05718668,-0.22741812,0.7058409,0.75589377,0.9177558,0.34816653,-0.25656435,-0.4530183,0.27331012,0.5358106,0.37380123,0.87220764,0.91161764,0.7531079,0.24447002,-1.1428039,-0.8440621,-0.94809747,-0.31035274,-0.9789385,-1.3105787,-0.80770236,-0.6040022,-0.76896536,-0.7332895,0.049874417,-0.9370669,-1.1683766,-1.3362123,-1.0495483,-1.3164744
1999-09-30,0,0.046155624,0.574499,0.321169,0.16377649,0.3698474,0.6629571,1.2081124,0.9551428,0.13273232,-0.051016677,0.80959105,-0.4962289,-0.4622375,-0.062314946,0.121824145,0.24308756,0.0925796,0.6030426,0.17455707,-0.2855125,0.09488474,0.7893771,-0.22757433,-0.088049404,0.38688454,0.29915312,0.90338635,-0.4270172,-0.6320817,0.21311706,1.0028015,1.008929,1.2663405,0.36732548,-0.20414494,0.2278112,1.0596881,0.8855898,0.42985737,0.72470486,0.35750717,-0.06217292,0.4054286,0.6550477,0.32735983,0.4536001,0.19142367,0.81829953,0.40233743,0.7785781,1.6516467,0.3212292,1.2679541,0.13119888,-0.42169502,0.10624112,0.02278154,0.38849849,0.35172012,-0.3588128,-0.2895369,-0.052206606,-0.43088073,-1.141383,0.3066135,-0.50360817,0.3065925,-0.21215737,-0.26973414,-0.19046974,-0.5598252,0.10094369,0.1331681,-1.0452532,1.2124293,-0.09057725,0.8782174,0.7057055,1.175659,1.1839825,-0.44298545,0.25183848,0.061632138,0.16243884,0.13375813,-0.18114759,0.756917,0.78314817,0.9401531,0.38356575,-0.2186885,-0.40910056,0.31739685,0.56649977,0.4007462,0.8968987,0.9556805,0.77035105,0.27633622,-1.1270161,-0.8107733,-0.92558986,-0.2763036,-0.9408048,-1.2824669,-0.7893964,-0.57006633,-0.7411654,-0.72261155,0.08407492,-0.9206558,-1.1587691,-1.3333238,-1.0420092,-1.3130442
1999-10-31,0,0.04235911,0.5998649,0.3467168,0.15330097,0.37773097,0.6603811,1.2362192,0.9784268,0.13399798,-0.06128526,0.8495817,-0.45738772,-0.43267563,-0.076869555,0.09219011,0.19816722,0.068475775,0.57852954,0.15503836,-0.27914238,0.055151623,0.8908172,-0.16409908,-0.018156022,0.4905965,0.38313958,0.9856546,-0.38952172,-0.57585555,0.27619046,1.0571618,1.0886728,1.3627452,0.4937619,-0.22309053,0.14231844,1.0168506,0.7910766,0.2809512,0.6830837,0.28776324,-0.08957599,0.2959142,0.5658318,0.2366491,0.42558345,0.23843579,0.866742,0.45477265,0.8247418,1.6698952,0.37238762,1.3041425,0.14207906,-0.37484503,0.108458035,0.053769063,0.35591266,0.3637674,-0.30743828,-0.28040773,-0.035360444,-0.4368981,-1.0869595,0.35839865,-0.48438147,0.29013157,-0.24513403,-0.24008457,-0.21029696,-0.53355616,0.17827322,0.09094087,-1.0098037,1.1660997,-0.19829153,0.8936433,0.6528073,1.1289631,1.1769544,-0.4741108,0.08101298,-0.005668504,0.18369105,0.011696975,-0.16617864,0.81451386,0.7598081,0.9565574,0.39353707,-0.18546413,-0.33342057,0.36050907,0.5678354,0.37855607,0.88852835,1.003866,0.79794014,0.309859,-1.1023347,-0.80350524,-0.9309659,-0.28805202,-0.9223495,-1.2653402,-0.7912249,-0.5623893,-0.7057252,-0.6950927,0.051490184,-0.9183105,-1.1365873,-1.279271,-1.0164192,-1.2788537
