date,district,spei,year
1999-01-31,Chibombo,-0.7121132,1999
1999-02-28,Chibombo,-0.44970137,1999
1999-03-31,Chibombo,-0.25083077,1999
1999-04-30,Chibombo,-0.14019798,1999
1999-05-31,Chibombo,-0.13159867,1999
1999-06-30,Chibombo,-0.11538557,1999
1999-07-31,Chibombo,-0.067443036,1999
1999-08-31,Chibombo,-0.003864056,1999
1999-09-30,Chibombo,0.046155624,1999
1999-10-31,Chibombo,0.04235911,1999
1999-11-30,Chibombo,0.024766067,1999
1999-12-31,Chibombo,0.0061495053,1999
2000-01-31,Chibombo,-0.042964444,2000
2000-02-29,Chibombo,0.1407725,2000
2000-03-31,Chibombo,0.5646018,2000
2000-04-30,Chibombo,0.61652565,2000
2000-05-31,Chibombo,0.5700021,2000
2000-06-30,Chibombo,0.6089291,2000
2000-07-31,Chibombo,0.6266951,2000
2000-08-31,Chibombo,0.71767247,2000
2000-09-30,Chibombo,0.731784,2000
2000-10-31,Chibombo,0.78750944,2000
2000-11-30,Chibombo,0.90251297,2000
2000-12-31,Chibombo,0.94197315,2000
2001-01-31,Chibombo,0.75170285,2001
2001-02-28,Chibombo,1.2710856,2001
2001-03-31,Chibombo,1.4840122,2001
2001-04-30,Chibombo,1.1698927,2001
2001-05-31,Chibombo,1.1807288,2001
2001-06-30,Chibombo,1.1816238,2001
2001-07-31,Chibombo,1.1551021,2001
2001-08-31,Chibombo,1.1806843,2001
2001-09-30,Chibombo,1.1415946,2001
2001-10-31,Chibombo,1.0957805,2001
2001-11-30,Chibombo,1.1841245,2001
2001-12-31,Chibombo,1.3063775,2001
2002-01-31,Chibombo,0.85824,2002
2002-02-28,Chibombo,0.8159313,2002
2002-03-31,Chibombo,0.6010932,2002
2002-04-30,Chibombo,0.7570238,2002
2002-05-31,Chibombo,0.7902596,2002
2002-06-30,Chibombo,0.8299163,2002
2002-07-31,Chibombo,0.8337807,2002
2002-08-31,Chibombo,0.83182085,2002
2002-09-30,Chibombo,0.91311735,2002
2002-10-31,Chibombo,1.1002705,2002
2002-11-30,Chibombo,1.1727097,2002
2002-12-31,Chibombo,1.0766206,2002
2003-01-31,Chibombo,0.49206817,2003
2003-02-28,Chibombo,0.539498,2003
2003-03-31,Chibombo,1.0892472,2003
2003-04-30,Chibombo,1.0871105,2003
2003-05-31,Chibombo,1.091273,2003
2003-06-30,Chibombo,1.135558,2003
2003-07-31,Chibombo,1.1398525,2003
2003-08-31,Chibombo,1.0769637,2003
2003-09-30,Chibombo,1.0582315,2003
2003-10-31,Chibombo,0.97871333,2003
2003-11-30,Chibombo,1.069179,2003
2003-12-31,Chibombo,1.3039137,2003
2004-01-31,Chibombo,1.438282,2004
2004-02-29,Chibombo,1.2420522,2004
2004-03-31,Chibombo,0.880631,2004
2004-04-30,Chibombo,0.92448586,2004
2004-05-31,Chibombo,0.9120846,2004
2004-06-30,Chibombo,0.89753675,2004
2004-07-31,Chibombo,0.8872036,2004
2004-08-31,Chibombo,0.81066436,2004
2004-09-30,Chibombo,0.83371943,2004
2004-10-31,Chibombo,0.97498393,2004
2004-11-30,Chibombo,0.791922,2004
2004-12-31,Chibombo,0.9787016,2004
2005-01-31,Chibombo,0.8351964,2005
2005-02-28,Chibombo,-0.26260093,2005
2005-03-31,Chibombo,-0.6489238,2005
2005-04-30,Chibombo,-0.73004204,2005
2005-05-31,Chibombo,-0.76889586,2005
2005-06-30,Chibombo,-0.79305375,2005
2005-07-31,Chibombo,-0.79173154,2005
2005-08-31,Chibombo,-0.83267313,2005
2005-09-30,Chibombo,-0.846259,2005
2005-10-31,Chibombo,-0.875406,2005
2005-11-30,Chibombo,-0.9993352,2005
2005-12-31,Chibombo,-0.89428234,2005
2006-01-31,Chibombo,-0.8398227,2006
2006-02-28,Chibombo,-0.28032488,2006
2006-03-31,Chibombo,0.136158,2006
2006-04-30,Chibombo,0.055179253,2006
2006-05-31,Chibombo,0.09362103,2006
2006-06-30,Chibombo,0.09524168,2006
2006-07-31,Chibombo,0.11265304,2006
2006-08-31,Chibombo,0.11784022,2006
2006-09-30,Chibombo,0.069513135,2006
2006-10-31,Chibombo,-0.02458713,2006
2006-11-30,Chibombo,0.09951425,2006
2006-12-31,Chibombo,-0.15505409,2006
2007-01-31,Chibombo,0.2872436,2007
2007-02-28,Chibombo,0.2777473,2007
2007-03-31,Chibombo,-0.31442255,2007
2007-04-30,Chibombo,-0.3145723,2007
2007-05-31,Chibombo,-0.32411277,2007
2007-06-30,Chibombo,-0.3510804,2007
2007-07-31,Chibombo,-0.35146162,2007
2007-08-31,Chibombo,-0.3544644,2007
2007-09-30,Chibombo,-0.3380122,2007
2007-10-31,Chibombo,-0.34608105,2007
2007-11-30,Chibombo,-0.18040243,2007
2007-12-31,Chibombo,0.3590273,2007
2008-01-31,Chibombo,0.8626888,2008
2008-02-29,Chibombo,0.58357716,2008
2008-03-31,Chibombo,0.39064264,2008
2008-04-30,Chibombo,0.24064848,2008
2008-05-31,Chibombo,0.17257881,2008
2008-06-30,Chibombo,0.13798526,2008
2008-07-31,Chibombo,0.13157374,2008
2008-08-31,Chibombo,0.1579991,2008
2008-09-30,Chibombo,0.1259561,2008
2008-10-31,Chibombo,-0.045257892,2008
2008-11-30,Chibombo,0.25226673,2008
2008-12-31,Chibombo,0.18434875,2008
2009-01-31,Chibombo,0.47582027,2009
2009-02-28,Chibombo,0.7014046,2009
2009-03-31,Chibombo,1.1909517,2009
2009-04-30,Chibombo,1.2960131,2009
2009-05-31,Chibombo,1.3901628,2009
2009-06-30,Chibombo,1.4069804,2009
2009-07-31,Chibombo,1.4492948,2009
2009-08-31,Chibombo,1.5078082,2009
2009-09-30,Chibombo,1.5160261,2009
2009-10-31,Chibombo,1.5154743,2009
2009-11-30,Chibombo,1.8041236,2009
2009-12-31,Chibombo,1.5563573,2009
2010-01-31,Chibombo,1.5246052,2010
2010-02-28,Chibombo,2.0435035,2010
2010-03-31,Chibombo,1.9015456,2010
2010-04-30,Chibombo,1.9969969,2010
2010-05-31,Chibombo,1.9529676,2010
2010-06-30,Chibombo,1.9540281,2010
2010-07-31,Chibombo,1.9895967,2010
2010-08-31,Chibombo,2.0041196,2010
2010-09-30,Chibombo,1.9929019,2010
2010-10-31,Chibombo,1.8186147,2010
2010-11-30,Chibombo,1.7983174,2010
2010-12-31,Chibombo,2.2578604,2010
2011-01-31,Chibombo,2.4877853,2011
2011-02-28,Chibombo,1.7338665,2011
2011-03-31,Chibombo,1.8661934,2011
2011-04-30,Chibombo,1.8505871,2011
2011-05-31,Chibombo,1.8440819,2011
2011-06-30,Chibombo,1.8058451,2011
2011-07-31,Chibombo,1.7831768,2011
2011-08-31,Chibombo,1.7872335,2011
2011-09-30,Chibombo,1.7676165,2011
2011-10-31,Chibombo,1.760986,2011
2011-11-30,Chibombo,1.6594393,2011
2011-12-31,Chibombo,1.0654713,2011
2012-01-31,Chibombo,0.80774033,2012
2012-02-29,Chibombo,1.1027638,2012
2012-03-31,Chibombo,1.184433,2012
2012-04-30,Chibombo,1.2758026,2012
2012-05-31,Chibombo,1.27156,2012
2012-06-30,Chibombo,1.2618185,2012
2012-07-31,Chibombo,1.2318499,2012
2012-08-31,Chibombo,1.2230952,2012
2012-09-30,Chibombo,1.2520599,2012
2012-10-31,Chibombo,1.2387761,2012
2012-11-30,Chibombo,0.9179561,2012
2012-12-31,Chibombo,0.92534566,2012
2013-01-31,Chibombo,1.0757382,2013
2013-02-28,Chibombo,1.5489112,2013
2013-03-31,Chibombo,1.0297914,2013
2013-04-30,Chibombo,1.0165664,2013
2013-05-31,Chibombo,0.9368132,2013
2013-06-30,Chibombo,0.91871446,2013
2013-07-31,Chibombo,0.85022545,2013
2013-08-31,Chibombo,0.8143646,2013
2013-09-30,Chibombo,0.79962534,2013
2013-10-31,Chibombo,0.88113207,2013
2013-11-30,Chibombo,0.4845929,2013
2013-12-31,Chibombo,0.604984,2013
2014-01-31,Chibombo,0.98152095,2014
2014-02-28,Chibombo,0.32761362,2014
2014-03-31,Chibombo,0.09683321,2014
2014-04-30,Chibombo,0.08980346,2014
2014-05-31,Chibombo,0.0845897,2014
2014-06-30,Chibombo,0.04036877,2014
2014-07-31,Chibombo,-0.013203718,2014
2014-08-31,Chibombo,-0.05824528,2014
2014-09-30,Chibombo,-0.06962686,2014
2014-10-31,Chibombo,-0.029302923,2014
2014-11-30,Chibombo,-0.32506013,2014
2014-12-31,Chibombo,-0.40892372,2014
2015-01-31,Chibombo,-0.5254349,2015
2015-02-28,Chibombo,-0.18953128,2015
2015-03-31,Chibombo,-0.36253646,2015
2015-04-30,Chibombo,-0.04049088,2015
2015-05-31,Chibombo,-0.055740036,2015
2015-06-30,Chibombo,-0.044209924,2015
2015-07-31,Chibombo,-0.06615962,2015
2015-08-31,Chibombo,-0.10285859,2015
2015-09-30,Chibombo,-0.10343896,2015
2015-10-31,Chibombo,-0.18514328,2015
2015-11-30,Chibombo,-0.3556285,2015
2015-12-31,Chibombo,-0.4776984,2015
2016-01-31,Chibombo,-0.70489097,2016
2016-02-29,Chibombo,-0.90403926,2016
2016-03-31,Chibombo,-0.575034,2016
2016-04-30,Chibombo,-0.54716873,2016
2016-05-31,Chibombo,-0.51598936,2016
2016-06-30,Chibombo,-0.5155121,2016
2016-07-31,Chibombo,-0.47791445,2016
2016-08-31,Chibombo,-0.48283765,2016
2016-09-30,Chibombo,-0.52042866,2016
2016-10-31,Chibombo,-0.57022053,2016
2016-11-30,Chibombo,-0.3528615,2016
2016-12-31,Chibombo,-0.5801049,2016
2017-01-31,Chibombo,-0.5772587,2017
2017-02-28,Chibombo,-0.17944084,2017
2017-03-31,Chibombo,0.07772636,2017
2017-04-30,Chibombo,0.21298093,2017
2017-05-31,Chibombo,0.2473811,2017
2017-06-30,Chibombo,0.25725764,2017
2017-07-31,Chibombo,0.28200862,2017
2017-08-31,Chibombo,0.29641384,2017
2017-09-30,Chibombo,0.28883243,2017
2017-10-31,Chibombo,0.2965415,2017
2017-11-30,Chibombo,0.61491174,2017
2017-12-31,Chibombo,0.6998276,2017
2018-01-31,Chibombo,-0.028592138,2018
2018-02-28,Chibombo,0.496644,2018
2018-03-31,Chibombo,0.8816518,2018
2018-04-30,Chibombo,0.77421576,2018
2018-05-31,Chibombo,0.83093846,2018
2018-06-30,Chibombo,0.81611454,2018
2018-07-31,Chibombo,0.8738727,2018
2018-08-31,Chibombo,0.8274679,2018
2018-09-30,Chibombo,0.8044728,2018
2018-10-31,Chibombo,0.8096844,2018
2018-11-30,Chibombo,0.85433984,2018
2018-12-31,Chibombo,0.51253414,2018
