,district,year,population,pop_growth
21,Chadiza,2000,61779.734375,
136,Chadiza,2001,62463.8203125,0.011072982822289745
251,Chadiza,2002,64005.6171875,0.02468303839385033
366,Chadiza,2003,64927.22265625,0.014398821685450258
481,Chadiza,2004,66126.2421875,0.01846713107686848
596,Chadiza,2005,67476.90625,0.020425537847292397
711,Chadiza,2006,68212.8125,0.010906046096326394
826,Chadiza,2007,68965.8828125,0.011040012644252029
941,Chadiza,2008,71330.296875,0.0342838221752082
1056,Chadiza,2009,71971.171875,0.008984611421470445
1171,Chadiza,2010,73572.40625,0.022248274319904615
1286,Chadiza,2011,74635.4296875,0.014448670251287377
1401,Chadiza,2012,75591.421875,0.012808825399716506
1516,Chadiza,2013,77334.3203125,0.023056828331422308
1631,Chadiza,2014,78706.75,0.017746709118980464
1746,Chadiza,2015,80761.8515625,0.02611086803228435
1861,Chadiza,2016,82202.0859375,0.0178331024751881
1976,Chadiza,2017,83160.609375,0.011660573166340171
2091,Chadiza,2018,84253.3671875,0.013140329546797558
2206,Chadiza,2019,85660.75,0.016704172895167124
2321,Chadiza,2020,86695.1328125,0.012075341536234463
54,Chama,2000,71010.4375,
169,Chama,2001,73940.59375,0.0412637402776177
284,Chama,2002,76923.2265625,0.040338231832226734
399,Chama,2003,79871.1484375,0.038322909824964446
514,Chama,2004,82888.4921875,0.03777764322947097
629,Chama,2005,86284.4921875,0.040970705466785384
744,Chama,2006,89645.0078125,0.03894692475789796
859,Chama,2007,92911.9765625,0.036443398575335406
974,Chama,2008,96492.9453125,0.03854151943039508
1089,Chama,2009,100319.1953125,0.03965315793406843
1204,Chama,2010,104281.9296875,0.03950125758740253
1319,Chama,2011,108790.125,0.04323083899587998
1434,Chama,2012,113045.21875,0.03911286755116783
1549,Chama,2013,117457.3984375,0.039030219378473285
1664,Chama,2014,121410.0546875,0.033651828684961416
1779,Chama,2015,125435.953125,0.03315951424173513
1894,Chama,2016,130099.6015625,0.03717951927907426
2009,Chama,2017,134620.90625,0.03475264054000937
2124,Chama,2018,138899.875,0.031785321234234276
2239,Chama,2019,143512.828125,0.03321063553872894
2354,Chama,2020,148031.6875,0.03148749442150267
22,Chasefu,2000,77685.921875,
137,Chasefu,2001,79566.7578125,0.02421076936599076
252,Chasefu,2002,81468.1953125,0.023897385695679008
367,Chasefu,2003,83444.0625,0.0242532337916761
482,Chasefu,2004,85455.203125,0.024101662416064595
597,Chasefu,2005,87820.3125,0.02767659883202689
712,Chasefu,2006,89919.2734375,0.023900631616404322
827,Chasefu,2007,91619.0,0.018902805789255295
942,Chasefu,2008,93711.9921875,0.02284452119647673
1057,Chasefu,2009,95791.59375,0.022191413435530327
1172,Chasefu,2010,98166.6796875,0.02479430443237618
1287,Chasefu,2011,100242.96875,0.021150649783710396
1402,Chasefu,2012,102469.015625,0.022206513860853816
1517,Chasefu,2013,104958.5546875,0.02429553018846997
1632,Chasefu,2014,108039.9765625,0.02935846329224434
1747,Chasefu,2015,109130.796875,0.010096450843535498
1862,Chasefu,2016,111354.5,0.020376494891236385
1977,Chasefu,2017,113576.7578125,0.01995660536844035
2092,Chasefu,2018,115797.71875,0.01955471330821501
2207,Chasefu,2019,117671.6875,0.016183123210274708
2322,Chasefu,2020,119825.40625,0.01830277780285927
63,Chavuma,2000,30631.318359375,
178,Chavuma,2001,31193.984375,0.018368978083922016
293,Chavuma,2002,31612.23046875,0.013407908676302371
408,Chavuma,2003,32002.03515625,0.01233081885459919
523,Chavuma,2004,32319.59375,0.009923074960686673
638,Chavuma,2005,32855.22265625,0.016572884869569204
753,Chavuma,2006,33278.95703125,0.012897017300212754
868,Chavuma,2007,33693.375,0.012452853265829456
983,Chavuma,2008,33919.46875,0.006710332520859064
1098,Chavuma,2009,34455.57421875,0.015805243669979374
1213,Chavuma,2010,35101.765625,0.018754335717857673
1328,Chavuma,2011,35441.18359375,0.0096695411956218
1443,Chavuma,2012,36057.16796875,0.017380468498479518
1558,Chavuma,2013,36431.734375,0.010388126060666414
1673,Chavuma,2014,36786.078125,0.009726238843110302
1788,Chavuma,2015,37293.3671875,0.013790245885310748
1903,Chavuma,2016,37660.3125,0.009839425618370923
2018,Chavuma,2017,38088.73828125,0.011376054865450236
2133,Chavuma,2018,38319.2109375,0.006050939638592823
2248,Chavuma,2019,38569.75,0.006538210374650966
2363,Chavuma,2020,38839.68359375,0.006998582924442109
34,Chembe,2000,10174.318359375,
149,Chembe,2001,10522.53515625,0.034225073815794316
264,Chembe,2002,11355.78125,0.07918681965677088
379,Chembe,2003,12592.6728515625,0.10892175309932983
494,Chembe,2004,13953.99609375,0.10810439199320476
609,Chembe,2005,16150.19921875,0.15738883042855956
724,Chembe,2006,17526.365234375,0.08521046687939937
839,Chembe,2007,20284.5390625,0.15737283750742037
954,Chembe,2008,23333.38671875,0.1503040146416934
1069,Chembe,2009,25469.537109375,0.09154909299593683
1184,Chembe,2010,31096.302734375,0.22092139330356586
1299,Chembe,2011,41091.32421875,0.3214215390733939
1414,Chembe,2012,48761.22265625,0.1866549346686719
1529,Chembe,2013,54895.11328125,0.12579443850786598
1644,Chembe,2014,64984.359375,0.1837913338853805
1759,Chembe,2015,73569.2265625,0.13210666797467363
1874,Chembe,2016,84657.2578125,0.15071561532022182
1989,Chembe,2017,95393.7421875,0.1268229641784442
2104,Chembe,2018,110333.7109375,0.1566137191749426
2219,Chembe,2019,127258.1484375,0.15339316838157546
2334,Chembe,2020,144620.40625,0.13643336812359075
0,Chibombo,2000,277903.75,
115,Chibombo,2001,290989.5,0.04708734588863961
230,Chibombo,2002,302550.125,0.03972866718558565
345,Chibombo,2003,305949.03125,0.011234192185509695
460,Chibombo,2004,320290.46875,0.04687525056512176
575,Chibombo,2005,326211.4375,0.018486247102849518
690,Chibombo,2006,331502.59375,0.01622002064228667
805,Chibombo,2007,344863.53125,0.040304171828218216
920,Chibombo,2008,352377.3125,0.02178769446211204
1035,Chibombo,2009,356265.375,0.011033804850872686
1150,Chibombo,2010,368134.46875,0.033315316567039455
1265,Chibombo,2011,387699.625,0.053146765410023944
1380,Chibombo,2012,389846.09375,0.005536422043224798
1495,Chibombo,2013,397555.59375,0.01977575285118527
1610,Chibombo,2014,407613.03125,0.02529819139288625
1725,Chibombo,2015,417458.46875,0.02415388308319688
1840,Chibombo,2016,426754.96875,0.022269281128339813
1955,Chibombo,2017,438999.4375,0.028692035586287412
2070,Chibombo,2018,448124.5,0.020786045995787816
2185,Chibombo,2019,456103.5625,0.01780545919716503
2300,Chibombo,2020,466930.40625,0.023737687315257494
35,Chiengi,2000,81043.328125,
150,Chiengi,2001,84224.328125,0.03925060919380896
265,Chiengi,2002,86900.0703125,0.03176923161119016
380,Chiengi,2003,89149.90625,0.025889920795338917
495,Chiengi,2004,91967.7421875,0.031607839604430366
610,Chiengi,2005,95097.6171875,0.03403231313017274
725,Chiengi,2006,97672.984375,0.0270813009165336
840,Chiengi,2007,100590.140625,0.029866562065924418
955,Chiengi,2008,103217.0546875,0.02611502525176035
1070,Chiengi,2009,105417.5625,0.021319226935531788
1185,Chiengi,2010,108370.7578125,0.028014262922271715
1300,Chiengi,2011,111396.3828125,0.027919201277847083
1415,Chiengi,2012,114659.96875,0.02929705485135181
1530,Chiengi,2013,118082.5625,0.029849944905030235
1645,Chiengi,2014,121330.5625,0.027506178145481952
1760,Chiengi,2015,125376.0703125,0.033342858791246544
1875,Chiengi,2016,127652.5078125,0.018156873910037064
1990,Chiengi,2017,130865.171875,0.025167261635148375
2105,Chiengi,2018,133681.328125,0.02151952432913129
2220,Chiengi,2019,137117.09375,0.025701163155615436
2335,Chiengi,2020,140062.90625,0.02148391874007327
36,Chifunabuli,2000,72072.8984375,
151,Chifunabuli,2001,73572.0,0.020799795692967527
266,Chifunabuli,2002,74860.9921875,0.01752014608138963
381,Chifunabuli,2003,76000.734375,0.015224780679440553
496,Chifunabuli,2004,77298.625,0.01707734320823784
611,Chifunabuli,2005,78624.640625,0.017154452941433362
726,Chifunabuli,2006,79956.6171875,0.016940955811205027
841,Chifunabuli,2007,81207.90625,0.015649599826937477
956,Chifunabuli,2008,82550.2890625,0.016530198529776774
1071,Chifunabuli,2009,83907.515625,0.01644120908495461
1186,Chifunabuli,2010,85285.7578125,0.01642572989122515
1301,Chifunabuli,2011,87020.078125,0.020335403670949326
1416,Chifunabuli,2012,88342.28125,0.015194230498169814
1531,Chifunabuli,2013,89902.3828125,0.01765973824113809
1646,Chifunabuli,2014,91416.6015625,0.01684292120663855
1761,Chifunabuli,2015,92447.734375,0.011279491852418388
1876,Chifunabuli,2016,94005.4453125,0.016849638858442928
1991,Chifunabuli,2017,95195.6796875,0.012661334362529031
2106,Chifunabuli,2018,96439.1328125,0.013062075181162536
2221,Chifunabuli,2019,97304.234375,0.00897044111939449
2336,Chifunabuli,2020,98286.3203125,0.010092941420361434
86,Chikankanta,2000,69858.2578125,
201,Chikankanta,2001,70324.4609375,0.006673557852692191
316,Chikankanta,2002,70391.40625,0.0009519491739793384
431,Chikankanta,2003,70686.8203125,0.004196734775418598
546,Chikankanta,2004,70711.6171875,0.000350799129036794
661,Chikankanta,2005,69209.8359375,-0.021238112063225123
776,Chikankanta,2006,70858.65625,0.02382349690857488
891,Chikankanta,2007,70045.515625,-0.011475529851019406
1006,Chikankanta,2008,68782.625,-0.01802957139699124
1121,Chikankanta,2009,68547.640625,-0.003416333339996802
1236,Chikankanta,2010,68541.5078125,-8.94678860436926e-05
1351,Chikankanta,2011,65963.125,-0.03761783034527555
1466,Chikankanta,2012,70799.5859375,0.07332067632484063
1581,Chikankanta,2013,69651.484375,-0.01621621860209066
1696,Chikankanta,2014,69718.203125,0.0009578941583037182
1811,Chikankanta,2015,69200.859375,-0.007420497471405496
1926,Chikankanta,2016,69378.296875,0.0025640938797950596
2041,Chikankanta,2017,69725.8046875,0.005008883586838486
2156,Chikankanta,2018,69761.7265625,0.0005151876720677073
2271,Chikankanta,2019,69731.9609375,-0.0004266755779521736
2386,Chikankanta,2020,69597.0234375,-0.001935088274958252
46,Chilanga,2000,115498.3125,
161,Chilanga,2001,125969.5234375,0.09066115955157361
276,Chilanga,2002,132770.390625,0.0539881949372798
391,Chilanga,2003,138674.953125,0.04447198258742047
506,Chilanga,2004,149942.4375,0.0812510415261769
621,Chilanga,2005,151628.515625,0.011244836039163264
736,Chilanga,2006,160077.515625,0.05572170884331307
851,Chilanga,2007,173253.5625,0.08231041582295928
966,Chilanga,2008,179200.34375,0.03432414990023647
1081,Chilanga,2009,187174.4375,0.04449820565704132
1196,Chilanga,2010,196325.4375,0.04889022305730184
1311,Chilanga,2011,210493.546875,0.07216644748340362
1426,Chilanga,2012,214445.28125,0.018773660445499107
1541,Chilanga,2013,221669.328125,0.033687133766204136
1656,Chilanga,2014,231158.046875,0.042805736049550625
1771,Chilanga,2015,244767.40625,0.0588746944308598
1886,Chilanga,2016,247835.0,0.01253268887797443
2001,Chilanga,2017,260998.296875,0.05311314735610395
2116,Chilanga,2018,275055.90625,0.0538609237811718
2231,Chilanga,2019,282303.84375,0.02635077936996666
2346,Chilanga,2020,295707.5625,0.047479760005924465
11,Chililabombwe,2000,70658.15625,
126,Chililabombwe,2001,73279.453125,0.037098291465820665
241,Chililabombwe,2002,75321.1171875,0.02786134414809749
356,Chililabombwe,2003,77147.375,0.02424629215142704
471,Chililabombwe,2004,78725.4453125,0.020455269054844738
586,Chililabombwe,2005,81682.2109375,0.037557940933368394
701,Chililabombwe,2006,83210.546875,0.018710756233929926
816,Chililabombwe,2007,85465.2421875,0.027096268407982294
931,Chililabombwe,2008,87447.5234375,0.023194004945906732
1046,Chililabombwe,2009,88835.703125,0.015874431120878496
1161,Chililabombwe,2010,91974.328125,0.03533067099816467
1276,Chililabombwe,2011,94298.6328125,0.025271233124324555
1391,Chililabombwe,2012,96630.21875,0.024725553997543503
1506,Chililabombwe,2013,99466.5859375,0.02935279692202908
1621,Chililabombwe,2014,101315.5625,0.018588921546596637
1736,Chililabombwe,2015,103946.4140625,0.025966904763520482
1851,Chililabombwe,2016,106598.8203125,0.02551705389668557
1966,Chililabombwe,2017,109079.5078125,0.023271247212002244
2081,Chililabombwe,2018,111916.8515625,0.02601170290277799
2196,Chililabombwe,2019,113725.078125,0.01615687483390471
2311,Chililabombwe,2020,116133.2265625,0.0211751750555238
74,Chilubi,2000,75823.4296875,
189,Chilubi,2001,76918.34375,0.014440313066984567
304,Chilubi,2002,78791.96875,0.024358623816571612
419,Chilubi,2003,80273.0234375,0.018797026029381936
534,Chilubi,2004,81511.171875,0.015424215813473197
649,Chilubi,2005,83965.3828125,0.0301088903649136
764,Chilubi,2006,85505.765625,0.018345450957328202
879,Chilubi,2007,87183.3125,0.019619108287471043
994,Chilubi,2008,88621.15625,0.016492189947474145
1109,Chilubi,2009,90054.4921875,0.016173744488918285
1224,Chilubi,2010,92171.84375,0.02351189275590526
1339,Chilubi,2011,93692.984375,0.016503311240315677
1454,Chilubi,2012,95136.1953125,0.015403617966993632
1569,Chilubi,2013,96894.4296875,0.018481234920364686
1684,Chilubi,2014,99136.40625,0.023138343140371775
1799,Chilubi,2015,101363.140625,0.022461318290928123
1914,Chilubi,2016,101873.75,0.005037426542346735
2029,Chilubi,2017,103729.4296875,0.01821548423907049
2144,Chilubi,2018,105257.0703125,0.014727166914946244
2259,Chilubi,2019,106381.515625,0.01068284827956556
2374,Chilubi,2020,107905.6640625,0.014327192356167417
12,Chingola,2000,183642.109375,
127,Chingola,2001,187232.328125,0.019550084467112816
242,Chingola,2002,191260.390625,0.021513712617571068
357,Chingola,2003,195459.5,0.02195493463794662
472,Chingola,2004,199690.890625,0.021648426528257714
587,Chingola,2005,202661.09375,0.01487400409554862
702,Chingola,2006,207005.53125,0.02143695871571305
817,Chingola,2007,210850.359375,0.018573552608875055
932,Chingola,2008,215123.875,0.020268002566689924
1047,Chingola,2009,220149.234375,0.02336030519625032
1162,Chingola,2010,224140.359375,0.01812917956008686
1277,Chingola,2011,228630.953125,0.02003473967170266
1392,Chingola,2012,233045.453125,0.019308409205583077
1507,Chingola,2013,237864.234375,0.02067743088476104
1622,Chingola,2014,243067.796875,0.021876187118557766
1737,Chingola,2015,247645.375,0.018832515799507732
1852,Chingola,2016,251782.359375,0.01670527614335615
1967,Chingola,2017,256215.171875,0.01760573104090213
2082,Chingola,2018,259566.25,0.013079155697442113
2197,Chingola,2019,263840.1875,0.016465690358434593
2312,Chingola,2020,267128.53125,0.01246339225710269
55,Chinsali,2000,82065.28125,
170,Chinsali,2001,83284.2734375,0.01485393297789983
285,Chinsali,2002,84242.3984375,0.011504272781091451
400,Chinsali,2003,85323.53125,0.012833594870902187
515,Chinsali,2004,86343.953125,0.01195944260687165
630,Chinsali,2005,87456.8125,0.012888677605354948
745,Chinsali,2006,88319.3984375,0.009862993091590111
860,Chinsali,2007,89194.28125,0.009905896416619209
975,Chinsali,2008,90555.21875,0.015258125082991292
1090,Chinsali,2009,91582.3828125,0.011342958215757148
1205,Chinsali,2010,92833.4140625,0.013660173622707328
1320,Chinsali,2011,93925.421875,0.011763090084835337
1435,Chinsali,2012,95047.3671875,0.011945065458349946
1550,Chinsali,2013,96496.7734375,0.01524930456138529
1665,Chinsali,2014,97677.3828125,0.012234703119526236
1780,Chinsali,2015,98602.8671875,0.009474909629556105
1895,Chinsali,2016,99584.484375,0.009955260080149575
2010,Chinsali,2017,100457.2578125,0.008764150790934844
2125,Chinsali,2018,101229.9453125,0.007691704082169792
2240,Chinsali,2019,101918.9453125,0.006806286399474448
2355,Chinsali,2020,102574.0703125,0.006427902074450209
23,Chipangali,2000,100175.171875,
138,Chipangali,2001,103106.3203125,0.029260228683785305
253,Chipangali,2002,105951.1171875,0.027590906807437587
368,Chipangali,2003,106978.2265625,0.0096941816402214
483,Chipangali,2004,109449.1796875,0.02309772001647814
598,Chipangali,2005,110140.5390625,0.0063167159130290695
713,Chipangali,2006,111275.7421875,0.010306860077703206
828,Chipangali,2007,114742.375,0.031153535751383465
943,Chipangali,2008,116622.0546875,0.016381739418414476
1058,Chipangali,2009,118504.359375,0.016140212008301624
1173,Chipangali,2010,120859.8984375,0.019877235528914516
1288,Chipangali,2011,122540.140625,0.013902396156396657
1403,Chipangali,2012,124918.6171875,0.019409775036725918
