district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Chadiza,2000,0.8410211886678424,0.8338682651519775,7,Eastern,November 26,May 04
Chadiza,2001,0.3649876832962036,0.3118981122970581,5,Eastern,November 26,May 04
Chadiza,2002,0.2812553296486537,0.244052492082119,6,Eastern,November 26,May 04
Chadiza,2003,0.22721907086670395,0.2172947824001312,5,Eastern,November 26,May 04
Chadiza,2004,-0.07999664757932935,0.0720811635255813,7,Eastern,November 26,May 04
Chadiza,2005,-0.6990671679377556,-0.7772930860519409,4,Eastern,November 26,May 04
Chadiza,2006,0.17073503881692886,0.13909068703651423,6,Eastern,November 26,May 04
Chadiza,2007,0.7602981448173523,0.8300856947898865,5,Eastern,November 26,May 04
Chadiza,2008,0.1893131818622351,-0.0217902194708585,5,Eastern,November 26,May 04
Chadiza,2009,1.7621904611587524,1.915144443511963,6,Eastern,November 26,May 04
Chadiza,2010,1.7294875621795653,1.5864999294281006,5,Eastern,November 26,May 04
Chadiza,2011,1.4349586367607117,1.434183657169342,4,Eastern,November 26,May 04
Chadiza,2012,1.7177925904591878,1.7737476229667664,6,Eastern,November 26,May 04
Chadiza,2013,0.11822346895933152,0.0260246470570564,5,Eastern,November 26,May 04
Chadiza,2014,-0.8802350640296936,-0.915709674358368,5,Eastern,November 26,May 04
Chadiza,2015,-1.533619475364685,-1.6512233018875122,5,Eastern,November 26,May 04
Chadiza,2016,-1.4328276872634889,-1.357988715171814,5,Eastern,November 26,May 04
Chadiza,2017,-1.010625696182251,-0.9454486966133118,5,Eastern,November 26,May 04
Chadiza,2018,-0.34608779350916546,-0.33651830255985254,6,Eastern,November 26,May 04
Chadiza,2019,0.26408326750000316,0.19832749664783475,6,Eastern,November 26,May 04
Chadiza,2020,0.18984683851401007,0.16308444738388056,6,Eastern,November 26,May 04
Chadiza,2021,-0.03850659132003787,0.03901968896389,5,Eastern,November 26,May 04
Chama,2000,0.0784576175113519,0.0927252359688282,6,Muchinga,November 24,May 12
Chama,2001,-0.7439691543579101,-0.7598825693130493,5,Muchinga,November 24,May 12
Chama,2002,0.1976199306547641,0.1845357567071914,5,Muchinga,November 24,May 12
Chama,2003,0.42887907922267915,0.4412564933300018,5,Muchinga,November 24,May 12
Chama,2004,0.4278216615319252,0.5178742408752441,5,Muchinga,November 24,May 12
Chama,2005,-0.46305696964263915,-0.5212599635124207,5,Muchinga,November 24,May 12
Chama,2006,-0.019914379964272175,0.0008959397673606977,6,Muchinga,November 24,May 12
Chama,2007,0.3412672609090805,0.409471184015274,5,Muchinga,November 24,May 12
Chama,2008,-0.9355336278676987,-1.0314306020736694,4,Muchinga,November 24,May 12
Chama,2009,0.7333797390262285,0.8014343678951263,6,Muchinga,November 24,May 12
Chama,2010,0.024436363577842707,0.0537258684635162,5,Muchinga,November 24,May 12
Chama,2011,-0.12697795708663756,-0.14113535359501833,4,Muchinga,November 24,May 12
Chama,2012,0.25974329560995096,0.2606383934617042,6,Muchinga,November 24,May 12
Chama,2013,-0.3043190807104111,-0.3242524266242981,5,Muchinga,November 24,May 12
Chama,2014,-0.616949450969696,-0.6630170345306396,5,Muchinga,November 24,May 12
Chama,2015,-0.923434042930603,-0.9967458844184875,5,Muchinga,November 24,May 12
Chama,2016,-1.2900041103363038,-1.2270246744155884,5,Muchinga,November 24,May 12
Chama,2017,-0.9997549176216125,-1.1099687814712524,5,Muchinga,November 24,May 12
Chama,2018,-0.23480661269277334,-0.2243829220533371,5,Muchinga,November 24,May 12
Chama,2019,0.4411781132221222,0.5096956491470337,6,Muchinga,November 24,May 12
