district,year,mean_start_day,start_date,mean_growing_period,mean_end_day,end_date
Chadiza,2000,308.5,November 04,194.25,502.75,May 16
Chadiza,2001,327.9375,November 23,162.75,490.6875,May 05
Chadiza,2002,316.625,November 12,173.3125,489.9375,May 04
Chadiza,2003,337.5625,December 03,154.3125,491.875,May 05
Chadiza,2004,312.6875,November 08,193.1875,505.875,May 19
Chadiza,2005,334.0,November 30,132.9375,466.9375,April 11
Chadiza,2006,321.5625,November 17,190.6875,512.25,May 27
Chadiza,2007,337.25,December 03,149.5625,486.8125,April 30
Chadiza,2008,323.875,November 19,165.5625,489.4375,May 03
Chadiza,2009,319.125,November 15,179.375,498.5,May 13
Chadiza,2010,327.4375,November 23,161.6875,489.125,May 04
Chadiza,2011,351.4375,December 17,127.5,478.9375,April 22
Chadiza,2012,310.3125,November 06,182.1875,492.5,May 06
Chadiza,2013,335.0,December 01,151.5,486.5,May 01
Chadiza,2014,325.0,November 21,167.3125,492.3125,May 07
Chadiza,2015,326.0,November 22,166.25,492.25,May 06
Chadiza,2016,330.0,November 26,164.625,494.625,May 08
Chadiza,2017,331.75,November 27,163.125,494.875,May 09
Chadiza,2018,331.3125,November 27,170.3125,501.625,May 16
Chadiza,2019,346.0,December 12,156.0,502.0,May 16
Chadiza,2020,337.0625,December 03,171.8125,508.875,May 22
Chadiza,2021,331.1875,November 27,140.8125,472.0,April 17
Chama,2000,308.1462264150944,November 04,180.6933962264151,488.83962264150955,May 02
Chama,2001,338.5094339622641,December 04,144.9575471698113,483.4669811320754,April 28
Chama,2002,331.35377358490564,November 27,161.66037735849056,493.0141509433962,May 08
Chama,2003,334.20283018867923,November 30,161.73584905660377,495.93867924528297,May 09
Chama,2004,327.75471698113205,November 23,173.91037735849056,501.6650943396226,May 15
Chama,2005,346.4339622641509,December 12,137.0754716981132,483.5094339622641,April 28
Chama,2006,324.5801886792453,November 20,180.4764150943396,505.05660377358487,May 20
Chama,2007,331.5518867924528,November 27,152.71226415094338,484.2641509433962,April 28
Chama,2008,330.57547169811323,November 26,139.83962264150944,470.41509433962267,April 14
Chama,2009,316.5660377358491,November 12,169.27830188679246,485.84433962264154,April 30
Chama,2010,330.3490566037736,November 26,153.56603773584905,483.91509433962267,April 28
Chama,2011,350.72169811320754,December 16,143.92924528301887,494.6509433962264,May 08
Chama,2012,324.2830188679245,November 20,179.0754716981132,503.35849056603774,May 17
Chama,2013,330.22641509433964,November 26,155.29716981132074,485.5235849056604,April 30
Chama,2014,329.9292452830189,November 25,165.94811320754718,495.87735849056605,May 10
Chama,2015,332.9292452830189,November 28,155.12264150943398,488.0518867924528,May 02
Chama,2016,330.4481132075472,November 26,167.02830188679246,497.47641509433964,May 11
Chama,2017,331.6745283018868,November 27,158.4764150943396,490.1509433962264,May 05
Chama,2018,337.62264150943395,December 03,161.1509433962264,498.77358490566036,May 13
Chama,2019,341.8632075471698,December 07,165.25471698113208,507.11792452830184,May 21
Chama,2020,340.2311320754717,December 06,159.8679245283019,500.0990566037736,May 14
Chama,2021,347.4009433962264,December 13,140.47169811320754,487.87264150943395,May 02
Chasefu,2000,308.1923076923077,November 04,176.8846153846154,485.0769230769231,April 29
Chasefu,2001,340.0,December 06,145.96153846153845,485.96153846153845,April 30
Chasefu,2002,346.0,December 12,149.92307692307693,495.9230769230769,May 10
Chasefu,2003,334.11538461538464,November 30,161.26923076923077,495.3846153846154,May 09
Chasefu,2004,310.2307692307692,November 06,202.1153846153846,512.3461538461538,May 26
Chasefu,2005,348.1923076923077,December 14,132.53846153846155,480.7307692307692,April 25
Chasefu,2006,325.5769230769231,November 21,176.69230769230768,502.2692307692308,May 17
Chasefu,2007,336.1923076923077,December 02,146.57692307692307,482.7692307692307,April 26
Chasefu,2008,330.96153846153845,November 26,134.30769230769232,465.2692307692308,April 09
Chasefu,2009,314.11538461538464,November 10,177.92307692307693,492.03846153846155,May 07
Chasefu,2010,329.7307692307692,November 25,160.42307692307693,490.1538461538462,May 05
Chasefu,2011,351.0,December 17,143.19230769230768,494.1923076923077,May 08
Chasefu,2012,321.61538461538464,November 17,180.03846153846155,501.6538461538462,May 15
Chasefu,2013,336.0,December 02,151.8846153846154,487.88461538461536,May 02
Chasefu,2014,327.9230769230769,November 23,169.6153846153846,497.53846153846155,May 12
Chasefu,2015,350.84615384615387,December 16,139.8846153846154,490.7307692307693,May 04
Chasefu,2016,331.4230769230769,November 27,166.03846153846155,497.46153846153845,May 11
Chasefu,2017,334.9230769230769,November 30,156.26923076923077,491.1923076923077,May 06
Chasefu,2018,337.5769230769231,December 03,162.34615384615384,499.9230769230769,May 14
Chasefu,2019,343.1923076923077,December 09,163.5,506.6923076923077,May 20
Chasefu,2020,341.0,December 07,161.57692307692307,502.5769230769231,May 16
Chasefu,2021,362.2692307692308,December 28,125.6153846153846,487.88461538461536,May 02
Chavuma,2000,298.0740740740741,October 25,193.5185185185185,491.5925925925926,May 05
Chavuma,2001,295.85185185185185,October 22,196.38888888888889,492.24074074074076,May 07
Chavuma,2002,303.48148148148147,October 30,182.3148148148148,485.7962962962963,April 30
Chavuma,2003,311.0,November 07,185.5,496.5,May 10
Chavuma,2004,303.0925925925926,October 30,191.16666666666663,494.25925925925924,May 08
Chavuma,2005,302.22222222222223,October 29,188.11111111111111,490.33333333333337,May 05
Chavuma,2006,302.77777777777777,October 29,188.1296296296296,490.9074074074074,May 05
Chavuma,2007,300.7407407407408,October 27,189.72222222222223,490.46296296296305,May 04
Chavuma,2008,297.0,October 24,183.9814814814815,480.9814814814815,April 24
Chavuma,2009,309.01851851851853,November 05,189.35185185185185,498.3703703703704,May 13
Chavuma,2010,300.1296296296296,October 27,203.5185185185185,503.64814814814815,May 18
Chavuma,2011,275.0,October 02,204.88888888888889,479.8888888888889,April 23
Chavuma,2012,292.3888888888889,October 19,189.40740740740745,481.79629629629636,April 25
Chavuma,2013,296.4074074074074,October 23,191.7407407407408,488.14814814814815,May 03
Chavuma,2014,306.0740740740741,November 02,180.12962962962962,486.2037037037037,May 01
Chavuma,2015,309.6296296296296,November 05,171.33333333333334,480.96296296296293,April 24
Chavuma,2016,321.3703703703704,November 17,169.4814814814815,490.85185185185185,May 04
Chavuma,2017,318.55555555555554,November 14,171.85185185185185,490.4074074074074,May 05
Chavuma,2018,312.6296296296296,November 08,181.8148148148148,494.44444444444446,May 09
Chavuma,2019,303.6481481481481,October 30,184.7037037037037,488.3518518518518,May 02
Chavuma,2020,299.0,October 26,201.2962962962963,500.2962962962963,May 14
Chavuma,2021,305.1666666666667,November 01,178.46296296296296,483.6296296296297,April 28
Chembe,2000,308.125,November 04,183.9583333333333,492.08333333333326,May 06
Chembe,2001,304.8333333333333,October 31,185.0,489.8333333333333,May 04
Chembe,2002,310.6666666666667,November 06,189.875,500.5416666666667,May 15
Chembe,2003,327.5833333333333,November 23,167.91666666666666,495.5,May 09
Chembe,2004,305.4583333333333,November 01,195.3333333333333,500.79166666666663,May 14
Chembe,2005,312.0,November 08,176.54166666666666,488.54166666666663,May 03
Chembe,2006,316.3333333333333,November 12,182.875,499.2083333333333,May 14
Chembe,2007,301.0833333333333,October 28,193.25,494.3333333333333,May 08
Chembe,2008,314.875,November 10,162.70833333333334,477.58333333333337,April 21
Chembe,2009,305.1666666666667,November 01,201.25,506.4166666666667,May 21
Chembe,2010,316.0,November 12,175.16666666666666,491.16666666666663,May 06
Chembe,2011,341.8333333333333,December 07,151.125,492.9583333333333,May 06
Chembe,2012,313.0,November 09,181.9583333333333,494.95833333333326,May 08
Chembe,2013,298.0,October 25,195.16666666666663,493.16666666666663,May 08
Chembe,2014,324.875,November 20,169.58333333333334,494.45833333333337,May 09
Chembe,2015,324.0,November 20,173.70833333333334,497.70833333333337,May 11
Chembe,2016,322.0,November 18,172.54166666666666,494.54166666666663,May 08
Chembe,2017,327.875,November 23,166.375,494.25,May 09
Chembe,2018,319.875,November 15,180.0,499.875,May 14
Chembe,2019,344.0,December 10,161.875,505.875,May 19
Chembe,2020,336.0,December 02,173.20833333333334,509.20833333333337,May 23
Chembe,2021,322.875,November 18,163.58333333333334,486.45833333333337,May 01
Chibombo,2000,307.6545454545454,November 03,173.4090909090909,481.0636363636363,April 25
Chibombo,2001,320.4818181818182,November 16,159.6727272727273,480.1545454545455,April 25
Chibombo,2002,345.1545454545454,December 11,104.52727272727272,449.68181818181813,March 25
Chibombo,2003,331.1363636363636,November 27,152.96363636363637,484.1,April 28
Chibombo,2004,322.3636363636364,November 18,157.46363636363637,479.82727272727277,April 23
Chibombo,2005,324.58181818181816,November 20,108.44545454545457,433.0272727272727,March 09
Chibombo,2006,321.3545454545455,November 17,148.44545454545454,469.8,April 14
Chibombo,2007,313.0,November 09,149.77272727272728,462.77272727272725,April 06
Chibombo,2008,320.09090909090907,November 16,154.35454545454544,474.4454545454545,April 18
Chibombo,2009,313.77272727272725,November 09,161.25454545454545,475.0272727272727,April 20
Chibombo,2010,324.2,November 20,152.13636363636363,476.3363636363636,April 21
Chibombo,2011,340.53636363636366,December 06,120.97272727272728,461.50909090909096,April 05
Chibombo,2012,308.2090909090909,November 04,174.8090909090909,483.0181818181818,April 27
Chibombo,2013,303.0636363636364,October 30,161.42727272727274,464.49090909090916,April 09
Chibombo,2014,324.7090909090909,November 20,150.25454545454545,474.96363636363634,April 19
Chibombo,2015,323.0,November 19,145.56363636363636,468.56363636363636,April 12
Chibombo,2016,326.3272727272727,November 22,154.3,480.6272727272727,April 24
Chibombo,2017,330.1,November 26,151.22727272727272,481.32727272727277,April 26
Chibombo,2018,327.8181818181818,November 23,170.87272727272727,498.6909090909091,May 13
Chibombo,2019,306.73636363636365,November 02,133.02727272727273,439.76363636363635,March 14
Chibombo,2020,332.9727272727273,November 28,149.76363636363635,482.73636363636365,April 26
Chibombo,2021,322.22727272727275,November 18,142.20909090909092,464.4363636363637,April 09
Chiengi,2000,307.80434782608694,November 03,193.5434782608696,501.3478260869565,May 15
Chiengi,2001,298.0652173913044,October 25,197.7608695652174,495.82608695652175,May 10
