district,year,mean_start_day,start_date,mean_growing_period
Chadiza,2000,308.5,November 04,194.25
Chadiza,2001,327.9375,November 23,162.75
Chadiza,2002,316.625,November 12,173.3125
Chadiza,2003,337.5625,December 03,154.3125
Chadiza,2004,312.6875,November 08,193.1875
Chadiza,2005,334.0,November 30,132.9375
Chadiza,2006,321.5625,November 17,190.6875
Chadiza,2007,337.25,December 03,149.5625
Chadiza,2008,323.875,November 19,165.5625
Chadiza,2009,319.125,November 15,179.375
Chadiza,2010,327.4375,November 23,161.6875
Chadiza,2011,351.4375,December 17,127.5
Chadiza,2012,310.3125,November 06,182.1875
Chadiza,2013,335.0,December 01,151.5
Chadiza,2014,325.0,November 21,167.3125
Chadiza,2015,326.0,November 22,166.25
Chadiza,2016,330.0,November 26,164.625
Chadiza,2017,331.75,November 27,163.125
Chadiza,2018,331.3125,November 27,170.3125
Chadiza,2019,346.0,December 12,156.0
Chadiza,2020,337.0625,December 03,171.8125
Chadiza,2021,331.1875,November 27,140.8125
Chama,2000,308.1462264150944,November 04,180.6933962264151
Chama,2001,338.5094339622641,December 04,144.9575471698113
Chama,2002,331.35377358490564,November 27,161.66037735849056
Chama,2003,334.20283018867923,November 30,161.73584905660377
Chama,2004,327.75471698113205,November 23,173.91037735849056
Chama,2005,346.4339622641509,December 12,137.0754716981132
Chama,2006,324.5801886792453,November 20,180.4764150943396
Chama,2007,331.5518867924528,November 27,152.71226415094338
Chama,2008,330.57547169811323,November 26,139.83962264150944
Chama,2009,316.5660377358491,November 12,169.27830188679246
Chama,2010,330.3490566037736,November 26,153.56603773584905
Chama,2011,350.72169811320754,December 16,143.92924528301887
Chama,2012,324.2830188679245,November 20,179.0754716981132
Chama,2013,330.22641509433964,November 26,155.29716981132074
Chama,2014,329.9292452830189,November 25,165.94811320754718
Chama,2015,332.9292452830189,November 28,155.12264150943398
Chama,2016,330.4481132075472,November 26,167.02830188679246
Chama,2017,331.6745283018868,November 27,158.4764150943396
Chama,2018,337.62264150943395,December 03,161.1509433962264
Chama,2019,341.8632075471698,December 07,165.25471698113208
Chama,2020,340.2311320754717,December 06,159.8679245283019
Chama,2021,347.4009433962264,December 13,140.47169811320754
Chasefu,2000,308.1923076923077,November 04,176.8846153846154
Chasefu,2001,340.0,December 06,145.96153846153845
Chasefu,2002,346.0,December 12,149.92307692307693
Chasefu,2003,334.11538461538464,November 30,161.26923076923077
Chasefu,2004,310.2307692307692,November 06,202.1153846153846
Chasefu,2005,348.1923076923077,December 14,132.53846153846155
Chasefu,2006,325.5769230769231,November 21,176.69230769230768
Chasefu,2007,336.1923076923077,December 02,146.57692307692307
Chasefu,2008,330.96153846153845,November 26,134.30769230769232
Chasefu,2009,314.11538461538464,November 10,177.92307692307693
Chasefu,2010,329.7307692307692,November 25,160.42307692307693
Chasefu,2011,351.0,December 17,143.19230769230768
Chasefu,2012,321.61538461538464,November 17,180.03846153846155
Chasefu,2013,336.0,December 02,151.8846153846154
Chasefu,2014,327.9230769230769,November 23,169.6153846153846
Chasefu,2015,350.84615384615387,December 16,139.8846153846154
Chasefu,2016,331.4230769230769,November 27,166.03846153846155
Chasefu,2017,334.9230769230769,November 30,156.26923076923077
Chasefu,2018,337.5769230769231,December 03,162.34615384615384
Chasefu,2019,343.1923076923077,December 09,163.5
Chasefu,2020,341.0,December 07,161.57692307692307
Chasefu,2021,362.2692307692308,December 28,125.6153846153846
Chavuma,2000,298.0740740740741,October 25,193.5185185185185
Chavuma,2001,295.85185185185185,October 22,196.38888888888889
Chavuma,2002,303.48148148148147,October 30,182.3148148148148
Chavuma,2003,311.0,November 07,185.5
Chavuma,2004,303.0925925925926,October 30,191.16666666666663
Chavuma,2005,302.22222222222223,October 29,188.11111111111111
Chavuma,2006,302.77777777777777,October 29,188.1296296296296
Chavuma,2007,300.7407407407408,October 27,189.72222222222223
Chavuma,2008,297.0,October 24,183.9814814814815
Chavuma,2009,309.01851851851853,November 05,189.35185185185185
Chavuma,2010,300.1296296296296,October 27,203.5185185185185
Chavuma,2011,275.0,October 02,204.88888888888889
Chavuma,2012,292.3888888888889,October 19,189.40740740740745
Chavuma,2013,296.4074074074074,October 23,191.74074074074076
Chavuma,2014,306.0740740740741,November 02,180.12962962962962
Chavuma,2015,309.6296296296296,November 05,171.33333333333334
Chavuma,2016,321.3703703703704,November 17,169.4814814814815
Chavuma,2017,318.55555555555554,November 14,171.85185185185185
Chavuma,2018,312.6296296296296,November 08,181.8148148148148
Chavuma,2019,303.6481481481481,October 30,184.7037037037037
Chavuma,2020,299.0,October 26,201.2962962962963
Chavuma,2021,305.1666666666667,November 01,178.46296296296296
Chembe,2000,308.125,November 04,183.95833333333331
Chembe,2001,304.8333333333333,October 31,185.0
Chembe,2002,310.6666666666667,November 06,189.875
Chembe,2003,327.5833333333333,November 23,167.91666666666666
Chembe,2004,305.4583333333333,November 01,195.33333333333331
Chembe,2005,312.0,November 08,176.54166666666666
Chembe,2006,316.3333333333333,November 12,182.875
Chembe,2007,301.0833333333333,October 28,193.25
Chembe,2008,314.875,November 10,162.70833333333334
Chembe,2009,305.1666666666667,November 01,201.25
Chembe,2010,316.0,November 12,175.16666666666666
Chembe,2011,341.8333333333333,December 07,151.125
Chembe,2012,313.0,November 09,181.95833333333331
Chembe,2013,298.0,October 25,195.16666666666663
Chembe,2014,324.875,November 20,169.58333333333334
Chembe,2015,324.0,November 20,173.70833333333334
Chembe,2016,322.0,November 18,172.54166666666666
Chembe,2017,327.875,November 23,166.375
Chembe,2018,319.875,November 15,180.0
Chembe,2019,344.0,December 10,161.875
Chembe,2020,336.0,December 02,173.20833333333334
Chembe,2021,322.875,November 18,163.58333333333334
Chibombo,2000,307.6545454545454,November 03,173.4090909090909
Chibombo,2001,320.4818181818182,November 16,159.6727272727273
Chibombo,2002,345.1545454545454,December 11,104.52727272727272
Chibombo,2003,331.1363636363636,November 27,152.96363636363637
Chibombo,2004,322.3636363636364,November 18,157.46363636363637
Chibombo,2005,324.58181818181816,November 20,108.44545454545457
Chibombo,2006,321.3545454545455,November 17,148.44545454545454
Chibombo,2007,313.0,November 09,149.77272727272728
Chibombo,2008,320.09090909090907,November 16,154.35454545454544
Chibombo,2009,313.77272727272725,November 09,161.25454545454545
Chibombo,2010,324.2,November 20,152.13636363636363
Chibombo,2011,340.53636363636366,December 06,120.97272727272728
Chibombo,2012,308.2090909090909,November 04,174.8090909090909
Chibombo,2013,303.0636363636364,October 30,161.42727272727274
Chibombo,2014,324.7090909090909,November 20,150.25454545454545
Chibombo,2015,323.0,November 19,145.56363636363636
Chibombo,2016,326.3272727272727,November 22,154.3
Chibombo,2017,330.1,November 26,151.22727272727272
Chibombo,2018,327.8181818181818,November 23,170.87272727272727
Chibombo,2019,306.73636363636365,November 02,133.02727272727273
Chibombo,2020,332.9727272727273,November 28,149.76363636363635
Chibombo,2021,322.22727272727275,November 18,142.20909090909092
Chiengi,2000,307.80434782608694,November 03,193.5434782608696
Chiengi,2001,298.0652173913044,October 25,197.7608695652174
Chiengi,2002,309.8695652173913,November 05,196.5
Chiengi,2003,315.89130434782606,November 11,178.41304347826087
Chiengi,2004,287.2173913043478,October 14,225.9782608695652
Chiengi,2005,305.80434782608694,November 01,202.15217391304347
Chiengi,2006,300.80434782608694,October 27,228.5
Chiengi,2007,296.7173913043478,October 23,240.15217391304347
Chiengi,2008,292.8695652173913,October 19,213.06521739130437
Chiengi,2009,308.8478260869565,November 04,193.41304347826087
Chiengi,2010,289.0,October 16,218.08695652173915
Chiengi,2011,300.0652173913044,October 27,195.5
Chiengi,2012,293.0,October 20,224.34782608695653
Chiengi,2013,296.1521739130435,October 23,189.7173913043478
Chiengi,2014,322.1304347826087,November 18,158.6086956521739
Chiengi,2015,324.0,November 20,180.1304347826087
Chiengi,2016,320.0869565217391,November 16,200.0217391304348
Chiengi,2017,321.0869565217391,November 17,142.3695652173913
Chiengi,2018,298.95652173913044,October 25,204.93478260869568
Chiengi,2019,343.3260869565217,December 09,181.67391304347825
Chiengi,2020,315.8695652173913,November 11,195.19565217391303
Chiengi,2021,305.2608695652174,November 01,188.1086956521739
Chifunabuli,2000,308.7837837837838,November 04,190.1891891891892
Chifunabuli,2001,308.3783783783784,November 04,182.40540540540545
Chifunabuli,2002,311.5135135135135,November 07,188.7027027027027
Chifunabuli,2003,329.8918918918919,November 25,168.54054054054055
Chifunabuli,2004,304.97297297297297,October 31,199.16216216216216
Chifunabuli,2005,332.27027027027026,November 28,157.86486486486487
Chifunabuli,2006,316.3243243243243,November 12,180.97297297297297
Chifunabuli,2007,300.1081081081081,October 27,205.27027027027023
Chifunabuli,2008,315.02702702702703,November 11,172.7027027027027
Chifunabuli,2009,310.64864864864865,November 06,194.75675675675677
Chifunabuli,2010,316.4864864864865,November 12,183.78378378378375
Chifunabuli,2011,343.9189189189189,December 09,152.45945945945945
Chifunabuli,2012,313.0,November 09,197.21621621621625
Chifunabuli,2013,300.2432432432432,October 27,198.6216216216216
Chifunabuli,2014,325.0,November 21,173.43243243243242
Chifunabuli,2015,324.94594594594594,November 20,182.16216216216216
Chifunabuli,2016,322.5135135135135,November 18,183.24324324324328
Chifunabuli,2017,326.97297297297297,November 22,174.02702702702703
Chifunabuli,2018,322.64864864864865,November 18,179.2972972972973
Chifunabuli,2019,344.0,December 10,164.97297297297297
Chifunabuli,2020,333.1621621621622,November 29,182.8918918918919
Chifunabuli,2021,323.0,November 19,167.54054054054055
Chikankanta,2000,315.1388888888889,November 11,177.83333333333334
Chikankanta,2001,322.0,November 18,160.38888888888889
Chikankanta,2002,347.1666666666667,December 13,105.25
Chikankanta,2003,332.8611111111111,November 28,156.30555555555554
Chikankanta,2004,329.1666666666667,November 25,155.27777777777777
Chikankanta,2005,333.5833333333333,November 29,123.5
Chikankanta,2006,322.97222222222223,November 18,156.72222222222223
Chikankanta,2007,314.69444444444446,November 10,147.05555555555554
Chikankanta,2008,323.69444444444446,November 19,155.38888888888889
Chikankanta,2009,315.52777777777777,November 11,157.13888888888889
Chikankanta,2010,328.0,November 24,151.16666666666666
Chikankanta,2011,348.5,December 14,108.30555555555556
Chikankanta,2012,327.94444444444446,November 23,151.08333333333334
Chikankanta,2013,337.05555555555554,December 03,137.25
Chikankanta,2014,310.0,November 06,162.77777777777777
Chikankanta,2015,323.0,November 19,148.58333333333334
Chikankanta,2016,328.0,November 24,148.25
Chikankanta,2017,331.0,November 27,148.58333333333334
Chikankanta,2018,333.05555555555554,November 29,163.80555555555554
Chikankanta,2019,3.0,January 03,107.05555555555556
Chikankanta,2020,123.66666666666669,May 03,111.41666666666669
Chikankanta,2021,323.80555555555554,November 19,143.47222222222223
Chilanga,2000,308.8235294117647,November 04,172.64705882352942
Chilanga,2001,322.0,November 18,157.0
Chilanga,2002,347.0,December 13,104.0
Chilanga,2003,332.2352941176471,November 28,154.76470588235293
Chilanga,2004,328.4117647058824,November 24,153.05882352941177
Chilanga,2005,333.94117647058823,November 29,116.82352941176472
Chilanga,2006,322.0,November 18,151.94117647058823
Chilanga,2007,313.3529411764706,November 09,146.7058823529412
