province,year,loss_ha
Central,2001,3383.4181518735872
Copperbelt,2001,6672.296663058795
Eastern,2001,1616.663005571385
Luapula,2001,1829.614516035276
Lusaka,2001,1275.028297672981
North-Western,2001,8749.85376940662
Northern,2001,3387.8943266765045
Southern,2001,327.1196722372137
Western,2001,2947.157486566952
Central,2002,3218.5127838882504
Copperbelt,2002,8280.314732523697
Eastern,2002,2140.4162461172064
Luapula,2002,10809.267190199645
Lusaka,2002,2250.4345522666067
North-Western,2002,10642.150531038626
Northern,2002,4707.347108542048
Southern,2002,355.5555667819393
Western,2002,4055.261944468684
Central,2003,3642.870921204834
Copperbelt,2003,6276.398559760096
Eastern,2003,2507.329968414091
Luapula,2003,5477.236294677376
Lusaka,2003,431.75046337280276
North-Western,2003,11084.87491504165
Northern,2003,8418.917053914172
Southern,2003,632.28956702979
Western,2003,3533.762206943287
Central,2004,2888.160252020455
Copperbelt,2004,703.8405527864104
Eastern,2004,2613.1555813333666
Luapula,2004,3905.988551169865
Lusaka,2004,263.5502705922325
North-Western,2004,9053.747206230302
Northern,2004,3420.698576646345
Southern,2004,449.3871968510407
Western,2004,5180.287310662244
Central,2005,6931.580050981638
Copperbelt,2005,5346.320850845876
Eastern,2005,6212.909287203919
Luapula,2005,4870.646117151094
Lusaka,2005,761.414828552677
North-Western,2005,13518.887273282064
Northern,2005,13754.725670021615
Southern,2005,1045.6136339667585
Western,2005,5123.093356284873
Central,2006,3546.1245836614626
Copperbelt,2006,2330.6356904819863
Eastern,2006,2004.3631555680097
Luapula,2006,4632.658803425556
Lusaka,2006,330.87575989379883
North-Western,2006,10744.816109760908
Northern,2006,3617.600253969319
Southern,2006,539.3227651461732
Western,2006,12797.487323073323
Central,2007,3159.6972410721364
Copperbelt,2007,855.8153882416609
Eastern,2007,3423.2574023559096
Luapula,2007,10553.967784693292
Lusaka,2007,412.0290702609672
North-Western,2007,10710.63092238023
Northern,2007,16449.72859583458
Southern,2007,341.0302924511001
Western,2007,7868.561889634986
Central,2008,13361.811851697665
Copperbelt,2008,3428.089476493351
Eastern,2008,5646.637250090978
Luapula,2008,7004.22660985263
Lusaka,2008,1036.3504257568359
North-Western,2008,11234.08001266003
Northern,2008,15548.21643202919
Southern,2008,1136.7565728008915
Western,2008,7898.156047357751
Central,2009,6224.68793653969
Copperbelt,2009,7692.830119663588
Eastern,2009,5479.100357695767
Luapula,2009,13715.88437082716
Lusaka,2009,1434.5873758069806
North-Western,2009,54958.69539876261
Northern,2009,13368.726155600896
Southern,2009,2305.4657477761184
Western,2009,12643.36706350768
Central,2010,8493.020849107499
Copperbelt,2010,52810.61196819968
Eastern,2010,2336.2591070450603
Luapula,2010,43602.98908241099
Lusaka,2010,209.59908269993204
North-Western,2010,31659.216317647457
Northern,2010,23013.72884494799
Southern,2010,1181.6739354484769
Western,2010,10843.851470425929
Central,2011,4280.317665076713
Copperbelt,2011,7933.695556809874
Eastern,2011,4715.102238836334
Luapula,2011,892.6369830263145
Lusaka,2011,435.18962881958
North-Western,2011,29267.65194616884
Northern,2011,7459.341741769087
Southern,2011,314.54603659344843
Western,2011,4837.61304899608
Central,2012,13146.152024822686
Copperbelt,2012,44914.9295549686
Eastern,2012,2979.4161345703365
Luapula,2012,23884.9890898753
Lusaka,2012,512.4162520048493
North-Western,2012,24863.540263102186
Northern,2012,13608.64304611038
