,district,season_year,mean_growing_spei,median_growing_spei,n_months
0,Chadiza,2000,0.8387689116666667,0.7818131349999999,6
1,Chadiza,2001,0.35348833333333335,0.30394485000000004,6
2,Chadiza,2002,0.28125533,0.24405248999999998,6
3,Chadiza,2003,0.227219068,0.21729478,5
4,Chadiza,2004,0.02519424333333331,0.084611825,6
5,Chadiza,2005,-0.712003398,-0.76374835,5
6,Chadiza,2006,0.13394505099999998,0.139090685,6
7,Chadiza,2007,0.7602981440000001,0.8300857,5
8,Chadiza,2008,0.18885545966666664,0.08238831,6
9,Chadiza,2009,1.7621904499999996,1.91514445,6
10,Chadiza,2010,1.7332198666666667,1.6691907000000001,6
11,Chadiza,2011,1.2511674,1.1900319000000001,4
12,Chadiza,2012,1.7177925833333332,1.7737476,6
13,Chadiza,2013,0.11822346739999996,0.026024647,5
14,Chadiza,2014,-0.8101022666666666,-0.87666668,6
15,Chadiza,2015,-1.4706727333333334,-1.55335065,6
16,Chadiza,2016,-1.47183885,-1.4612954,6
17,Chadiza,2017,-0.9929727916666667,-0.9250785,6
18,Chadiza,2018,-0.41827229,-0.35789689,6
19,Chadiza,2019,0.282297126,0.21732996,5
20,Chadiza,2020,0.1992157384,0.18316655,5
21,Chadiza,2021,-0.0610551332,-0.073723026,5
22,Chama,2000,0.07845761733333333,0.092725235,6
23,Chama,2001,-0.7399908,-0.7597308,4
24,Chama,2002,0.08754290399999999,0.14733327699999998,6
25,Chama,2003,0.42887908799999996,0.4412565,5
26,Chama,2004,0.4276592583333334,0.47236073,6
27,Chama,2005,-0.45982282499999994,-0.526973245,4
28,Chama,2006,-0.07876598616666668,-0.008260956,6
29,Chama,2007,0.305069181,0.40947118,5
30,Chama,2008,-0.779673416,-1.014973,5
31,Chama,2009,0.7333797433333333,0.8014343749999999,6
32,Chama,2010,0.11979519399999997,0.05372587,5
33,Chama,2011,-0.127889758,-0.13153696,5
34,Chama,2012,0.2581711233333333,0.26063839,6
35,Chama,2013,-0.31686994333333335,-0.35193834,6
36,Chama,2014,-0.5620613899999999,-0.5739523,6
37,Chama,2015,-0.9236150666666667,-0.96063305,6
38,Chama,2016,-1.2864412,-1.2478257,6
39,Chama,2017,-0.96637552,-1.01643882,6
40,Chama,2018,-0.23480661339999997,-0.22438292,5
41,Chama,2019,0.427709636,0.5108708,5
42,Chama,2020,1.1163688139999999,1.1295168,5
43,Chama,2021,0.73490959,0.91710067,5
44,Chasefu,2000,-0.2305620876,-0.29614013,5
45,Chasefu,2001,-0.9443830259999999,-1.0105234,5
46,Chasefu,2002,-0.023004203400000013,-0.07761974,5
47,Chasefu,2003,0.408069196,0.41304392,5
48,Chasefu,2004,0.4006719271666666,0.45515403,6
49,Chasefu,2005,-0.5108876,-0.5793258750000001,4
50,Chasefu,2006,-0.233032275,-0.290424075,6
51,Chasefu,2007,-0.11546522,-0.09759272,4
52,Chasefu,2008,-1.28136041,-1.4561372,5
53,Chasefu,2009,0.3291162616666667,0.41843833,6
54,Chasefu,2010,-0.11938125183333333,-0.142535133,6
55,Chasefu,2011,-0.074722286,-0.14479102,5
56,Chasefu,2012,0.5931879566666666,0.5962269499999999,6
57,Chasefu,2013,-0.06665465159999999,-0.01309309,5
58,Chasefu,2014,-0.6017485233333333,-0.5834093650000001,6
59,Chasefu,2015,-1.29208572,-1.4041331,5
60,Chasefu,2016,-1.76355535,-1.80045865,6
61,Chasefu,2017,-1.3100825999999999,-1.3358843,5
62,Chasefu,2018,-0.05563038199999999,-0.09421471,5
63,Chasefu,2019,0.8094781940000001,0.81609994,5
64,Chasefu,2020,1.33868306,1.3293462,5
65,Chasefu,2021,1.0742653519999998,1.2144549,5
66,Chavuma,2000,-0.7657944285714287,-0.77383995,7
67,Chavuma,2001,-0.7691444985714285,-0.7175343,7
68,Chavuma,2002,-0.94655409,-0.9673665,7
69,Chavuma,2003,-0.516065385,-0.41518389,6
70,Chavuma,2004,-0.3919095928571429,-0.26630005,7
71,Chavuma,2005,-0.9730125428571429,-0.97312397,7
72,Chavuma,2006,-0.9653953228571427,-0.8507335,7
73,Chavuma,2007,-1.20188371,-1.1010157,7
74,Chavuma,2008,-1.05729751,-1.03080678,6
75,Chavuma,2009,-0.049345999083333335,-0.10887658225,6
76,Chavuma,2010,0.42993769485714284,0.4615873,7
77,Chavuma,2011,0.8776910666666667,0.8991549,6
78,Chavuma,2012,0.7921545566666667,0.7610672700000001,6
79,Chavuma,2013,0.8058198599999999,0.7540967,7
80,Chavuma,2014,0.6050087650000001,0.56970245,6
81,Chavuma,2015,0.1456363748,0.08587224,5
82,Chavuma,2016,0.23979793916666667,0.26343021499999997,6
83,Chavuma,2017,0.43551346500000004,0.404532825,6
84,Chavuma,2018,0.00929712833333333,0.035477808,6
85,Chavuma,2019,0.22462632714285716,0.09406031,7
86,Chavuma,2020,0.8360804014285713,0.8870162,7
87,Chavuma,2021,0.3156654228,0.2766677,5
88,Chembe,2000,1.01871896,1.2052584,6
89,Chembe,2001,0.7974468366666668,0.70950498,6
